Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
MADEN	معدن							Nahiye merkezi				Everek	Bayburt	Gümüşhane	Nahiye	1927				Bayburt	Gümüşhane	Nahiye	1989				Merkez	Bayburt																																															
Maden	معدن	AKDAĞMADENİ						Kaza	1872				Yozgat	Ankara vilâyeti	Kaza	1924					Yozgat																																																						
MADEN	معدن							Nahiye	16. yy.			Tire	Aydın	Anadolu eyâleti																																																													
MADEN-İ SİM	معدن سيم	Gümüş						Kaza		1883’te kaza merkezi şimdiki “Gümüş” bucağından Hacıköy’e nakledildi. Gümüşhacıköy adını aldı.			Amasya	Sivas vilâyeti																																																													
MADENŞEHRİ	معدن شهری							Kaza	17. yy.				Lârende	Karaman eyâleti	Köy					Kılbasan	Karaman																																																						
MADÎK	مضيق							Nahiye		Bazı kaynaklarda diğer adının “Kal‘atü’l-Madîk” olduğu ve 1600’lerde Halep’e bağlı sancak olduğu belirtilmiş.			Halep	Halep eyâleti																																																													
Madrak	مادراک	GEÇİTKÖY						Nahiye	1865			Merkez	Hınıs	Erzurum vilâyeti	Köy	1926			Merkez	Tekman	Erzurum																																																						
MAĞADİR	مغادر							Kasaba						Fas																																																													
Mağara	مغاره	TUFANBEYLİ	Höketçe					Nahiye	16. yy.			Maraş	Maraş	Zülkadriye eyâleti	Nahiye	1869			Haçin	Kozan	Adana vilâyeti	Nahiye	1926				Saimbeyli	Adana	Kaza	1958				Adana																																									
MAĞARA	مغاره					Atina’nın 32 km. batısında ve ünlü matematikçi Oklid’in doğum yeridir.		Kaza				Atika	Biyotiye eyâleti	Yunanistan																																																													
MAĞARA	مغاره							Nahiye merkezi	1933			Kırobası	Silifke	İçel																																																													
MAĞLAY	ماغلای							Kaza	~1580				İzvornik	Bosna eyâleti																																																													
MAGOSA	ماغوسه	Famagosta					https://www.wikidata.org/wiki/Q193190	Sancak	1571					Kıbrıs eyâleti	Şehir						Kıbrıs																																																						
MAĞRİB-İ AKSA	مغرب اقصی	Marok						Ülke						Fas																																																													
MAĞRİB-İ EVSAT	مغرب اَوسط	Cezayir						Ülke						Cezayir																																																													
MAHADİR	مخادر							Nahiye	1873			İbb	Taizz	Yemen vilâyeti																																																													
MAHALİB	محالب							Kasaba						Yemen																																																													
MAHALİBE	مهالبه							Kaza	1847				Lazkiye	Sayda eyâleti	Nahiye	1888			Sahyun	Lazkiye	Beyrut vilâyeti																																																						
MAHALL-İ DEHLÜ	محل دهلو					“Mahal”: İranlıların nahiyelere verdikleri ad.		Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																													
MAHALL-İ ZEND ve ZENGİNE	محل زند وَ زنکنه							Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																													
MAHAVİL	محاويل							Kaza	1851				Divaniye	Bağdad maa Şehrizor eyâleti	Nahiye	1855			Hille	Divaniye	Bağdad vilâyeti																																																						
MAHCE	محجه							Nahiye	1865				Havran	Suriye vilâyeti																																																													
MAHİRCE	محيرجه							Nahiye	1884			Hayy	Müntefik	Basra vilâyeti																																																													
MAHMUDÎ	محمودی	Saray						Kaza	1845				Van-Hakkâri	Erzurum eyâleti	Kaza	1855				Van	Van eyâleti	Kaza		Cumhuriyetten sonra lağvedilerek yerine “Saray” kaza yapıldı. 1948’de kaza “Özalp” adını aldı ve Kargalı k.yüne taşındı. Saray nahiye olarak Özalp’a bağlı.			Van	Van vilâyeti																																															
MAHMUDİYE	محموديه							Köy				Çifteler	Merkez	Eskişehir	Kaza	1954					Eskişehir																																																						
MAHMUDİYE	محموديه							Kaza					Bahriye	Mısır																																																													
MAHMUDİYE	محموديه							Kaza	18. yy.				Bağdad	Bağdad maa Şehrizor eyâleti																																																													
MAHMUT ŞEVKETPAŞA	محمود شوکت پاشا	Ömerli						Nahiye	1924				Üsküdar	İstanbul	Nahiye	1926				Beykoz	İstanbul																																																						
MAHMUTBEY	محمود بک							Nahiye	1924				Bakırköy	İstanbul																																																													
MAHMUTLAR	محمودلر							Nahiye	16. yy.			Merkez	Alâiye	Anadolu eyâleti	Kasaba				Merkez	Alanya	Antalya																																																						
MAHMUTLAR	محمودلر					Turgut-Yunak bölgesinde cemaat adı.		Kaza	16. yy.				Konya	Karaman eyâleti																																																													
MAHMUTLU	محمودلی							Nahiye	1865			Ortaköy	Edirne	Edirne vilâyeti	Nahiye	1913				Ortaköy	Bulgaristan																																																						
MAHREKE	محرکه							Nahiye	18. yy.			Nusaybin	Mardin	Diyarbakır eyâleti																																																													
MAHVİT	محويت							Nahiye	1871			Gökben	Sana	Yemen vilâyeti																																																													
MAKALLE	مقله							Kasaba						Hadramut																																																													
MAKATIRA	مقاطره							Nahiye	1871			Hicriye	Taizz	Yemen vilâyeti																																																													
MAKBENE	مقبنه							Nahiye	1873			Merkez	Taizz	Yemen vilâyeti																																																													
MAKLÛB	مقلوب							Nahiye	1879			Merkez	Musul	Musul vilâyeti																																																													
MAKO	ماقو						https://www.wikidata.org/wiki/Q240504	Sancak merkezi					Ksanad	Macaristan																																																													
MAKRANİÇE	مقره نيچه							Kaza	1846				Tırhala	Selânik eyâleti																																																													
Makriköy	مقری کوی	BAKIRKÖY						Kaza						İstanbul																																																													
MAKSUTLU	مقصودلی							Nahiye	1865			Tonus	Sivas	Sivas vilâyeti	Köy				Merkez	Şarkışla	Sivas																																																						
MAKSUTLU	مقصودلی							Nahiye	1865				Uzunköprü	Edirne vilâyeti	Köy				Hamidiye	Uzunköprü	Edirne																																																						
Malabâdi	مالابادی	ÇATAKKÖPRÜ						Nahiye	1924				Silvan	Diyarbakır																																																													
MALAKOF	مالاقوف							Kale		Sivastopol kalelerinin en metinidir. Kırım savaşı sırasında bu kalenin alınması Rusların Sivastopul’u tahliyeye mecbur etmişti.			Sivastopol	Kırım																																																													
MALAKSA	ملقسه	Malkasa						Kaza	1867				Berat	Yanya vilâyeti																																																													
MALATYA	ملاطيه							Sancak	1517					Arap vilâyeti	Sancak	1522					Zülkadriye eyâleti	Sancak	1535					Rum eyâleti																																															
MALATYA	ملاطيه							Sancak	1870					Diyarbakır vilâyeti	Sancak	1884					Mamûretülaziz vilâyeti	Vilâyet	1924					Malatya																																															
MALATYA maa HARPUT	ملاطيه مع خرپوت							Sancak	1846					Harput eyâleti																																																													
MALAZGİRT	ملازکرد							Sancak	1534					Erzurum eyâleti	Kaza	1830				Muş	Erzurum eyâleti	Kaza	1880				Muş	Bitlis vilâyeti	Kaza	1924				Muş	Kaza	1926				Bitlis	Kaza	1929			Muş																														
MALİŞ	مالش	Osmaniye	Bihcova					Kaza	1877				Üsküb	Kosova vilâyeti																																																													
MALİSİYAS	ماليسياس	Leş Malisiyas						Nahiye	1875			Leş	İşkodra	İşkodra vilâyeti																																																													
MALKARA	معلقره							Kaza	16. yy.				Gelibolu	Rumeli eyâleti	Kaza	1846				Gelibolu	Edirne eyâleti	Kaza	1865				Tekfurdağı	Edirne vilâyeti	Kaza	1924				Tekirdağ																																									
MALKASRA	مالقصره							Nahiye	1867			Merkez	Berat	Yanya vilâyeti																																																													
MALTEPE	مالتپه							Kaza	~1990					İstanbul																																																													
MALVİZ	مالويز	Çatalköy						Kaza	1913			Kandiye	Girit	Yunanistan																																																													
MALYA	ماليا							Nahiye		Tomarza’nın kuzey kısmında idi.		Merkez	Kayseri	Karaman eyâleti																																																													
MALYA	ماليا							Nahiye		Mucur ve Hacıbektaş ilçeleri arasında idi.		Kırşehir	Bozok	Zülkadriye eyâleti																																																													
Mam.retülhamid	معمورة الحميد	GÜZELSU						Kaza	1888				Hakkâri	Van vilâyeti	Nahiye	1935				Gürpınar	Van																																																						
MAMAHATUN	ماماخاتون							Köy			Tercan-ı Ulyâ	Tercan	Bayburt	Rum eyâleti	Kaza merkezi	1865			Tercan	Erzurum	Erzurum vilâyeti	Kaza merkezi	1936				Tercan	Erzincan																																															
MAMAK	ماماق							Kaza						Ankara																																																													
Mamuğa	ماموغه	SİVRİTEPE						Nahiye	1865			Hafik	Sivas	Sivas vilâyeti	Köy				Merkez	Merkez	Sivas																																																						
MAMÛRE	معموره							Nahiye					Merkez	Kale-i Sultaniye	Köy				Gölcük	Bayramiç	Çanakkale																																																						
Mamûre	معموره	Misis	YAKAPINAR			H. 140 yılında yeniden imar g.rünce bu adı almıştır.		Nahiye	1869			Merkez	Adana	Adana vilâyeti	Nahiye	1924				Merkez	Adana																																																						
Mamûre	معموره	AYDINCIK						Nahiye					Çekerek	Yozgat																																																													
Mamûre	معموره	SİVAS						Vilâyet	1865	Danişmendliler Sivas’a “Mamure” demiştir.				Sivas																																																													
MAMÛRETÜLAZİZ	معمورة العزيز	Elaziz, Elazık	ELÂZIĞ	Mezraa				Sancak	1867					Diyarbakır vilâyeti	Müstakil sancak	1871					Mamûretülaziz sancağı	Vilâyet	1877					Mamûretülaziz vilâyeti	Vilâyet	1924	Harput eyâlet merkezi 1834’te bugünkü Elâzığ’a ‘Mezraa’ya) taşındı. Cumhuriyetten sonra Elaziz, 1937’de Elazık ve yine aynı yıl Elâzığ denildi.			Elâzığ																																									
MAMÛRETÜLHAMİD	معمورة الحميد	El-Lis						Kaza	1875				Cidde	Hicaz vilâyeti																																																													
MAMÛRETÜLHAMİD	معمورة الحميد							Kaza	1879				Süleymaniye	Musul vilâyeti																																																													
Mamûriye	معموريه	ANAMUR	Çorak					Kaza	1483				İçil	Karaman eyâleti	Kaza	1870				İçil	Adana vilâyeti	Kaza	1924					İçil	Kaza	1933	İçil: merkezi Ermenek ve sonra Silifke olan bir sancak teşkilâtıdır. Bugünkü İçel iliyle karıştırılmamalıdır.			İçel																																									
MANAĞRI	مناغری							Nahiye	~1530	Köyleri halen Çarşamba ilçesi Ayvacık bucağına bağlıdır.)		Arım	Canik	Rum eyâleti																																																													
Manahos	مناحوس	ÇİÇEKDAĞ						Nahiye	16. yy.			Kırşehir	Bozok	Zülkadriye eyâleti																																																													
MANASTIR	مناستر	Bitola					https://www.wikidata.org/wiki/Q157246	Sancak	15. yy.					Rumeli eyâleti	Sancak						Kaptanpaşa eyâleti	Eyâlet merkezi	1836					Rumeli eyâleti	Sancak	1867				Selânik vilâyeti	Vilâyet	1874				Manastır vilâyeti	Vilâyet	1913			Sırbistan	Vilâyet	1913			Makedonya																									
MANASTIRBÜKÜ	مناستر بوکی							Kaza merkezi	~1990				Doğankent	Giresun																																																													
MANAVGAT	منوغات	Pazarcı						Kaza	~1530				Alâiye	Anadolu eyâleti	Kaza	1846				Alâiye	Karaman eyâleti	Kaza	1865				Teke	Konya vilâyeti	Kaza	1924				Antalya																																									
MANDA	مانده							Köy				Merkez	Midilli	Cezayir-i Bahr-i Sefid	Kaza				Merkez	Midilli	Yunanistan																																																						
MANDALYAT	مانداليات					Milâs’ın Selimiye nahiyesi olabilir. 1928 Salnamesinde Selimiye’nin diğer adı “Kızılcamandalyat”tır.		Nahiye	~1530			Peçin	Menteşe	Anadolu eyâleti	Nahiye	~1826				Menteşe	Aydın eyâleti																																																						
MANDARİÇE	ماندريچه							Nahiye	1865			Ortaköy	Edirne	Edirne vilâyeti	Nahiye	1913				Ortaköy	Bulgaristan																																																						
MANDİÇE	مانديچه							Kaza	~1811				Sığla	Aydın eyâleti																																																													
Mandıra	مانديره	BÜYÜKMANDIRA						Nahiye	1865			Babaeski	Kırkkilise	Edirne vilâyeti	Kasaba				Merkez	Babaeski	Kırklareli																																																						
MANGUT	مانقت							Sancak	1435					Kırım eyâleti																																																													
MANİSA	مغنيسا	Saruhan						Sancak	~1530					Anadolu eyâleti	Sancak	~1573					Cezayir-i Bahr-i Sefid eyâleti	Sancak	1811					Aydın eyâleti	Vilâyet	1924				Manisa																																									
MANKALYA	منقاليا	Mangalia						Kaza	1864				Varna	Tuna vilâyeti	Kaza	~1913					Romanya																																																						
MANOFAÇ maa RİZO	منوفاچ مع ريزو							Kaza	1846				Kandiye	Girit vilâyeti	Kaza	1913				Kandiye	Yunanistan																																																						
Mans	مانص	ÇAYIRLI						Nahiye	1865			Tercan	Erzurum	Erzurum vilâyeti	Nahiye	1924				Tercan	Erzurum	Nahiye	1936				Tercan	Erzincan	Kaza	1954				Erzincan																																									
MANSURA	منصوره						https://www.wikidata.org/wiki/Q223587	Müdiriyet merkezi					Dakhilye	Mısır																																																													
Mansuran	منصوران	YAYGINKONAK						Nahiye	1867			Çermik	Erganimadeni	Diyarbakır vilâyeti	Köy				Çüngüş	Merkez	Elâzığ	Köy				Merkez	Çüngüş	Diyarbakır																																															
MANSURİYE	منصوريه							Kaza	1852				Horasan	Bağdad maa Şehrizor eyâleti																																																													
MANSURLU	منصورلی							Nahiye					Feke	Adana	Kaza	~1990					Adana																																																						
MANYA	مانيا	Magne, Maina				Arazisi savunmaya elverişli, ahalisi eskiden beri korsan ve eşkıya. Nitekim Yunan isyanı ilk defa burada başladı.		Sancak	17. yy.					Mora eyâleti	Sancak	18. yy.					Cezayir-i Bahr-i Sefid eyâleti																																																						
MANYAN	مانيان							Nahiye	1846			Gülnar	İçil	Karaman eyâleti																																																													
MANYAS	مانياس					Kazanın ilk mezkezi Eskimanyas (Soğuksu) k.yüdür. Sonra da Maltepe k.yü merkez oldu ve şimdi Manyas’ın bir mahallesidir.		Kaza	~1530				Karesi	Anadolu eyâleti	Nahiye	1867				Bandırma	Hudavendigâr vilâyeti	Kaza	1936					Balıkesir																																															
Mapavri	مپاوری	ÇAYELİ	Yenipazar					Nahiye	1868			Merkez	Rize	Trabzon vilâyeti	Nahiye	1924				Merkez	Rize	Kaza	1944					Rize																																															
Maradit	مراديت	MURATLI						Nahiye					Borçka	Artvin																																																													
MARAKEŞ	مراکش						https://www.wikidata.org/wiki/Q101625	Şehir						Fas																																																													
Maraş	مرعش	KAHRAMANMARAŞ				1923’te adı Kahramanmaraş olmuştur.	https://www.wikidata.org/wiki/Q134703	Eyâlet merkezi	1522					Zülkadriye eyâleti	Sancak	1848					Adana eyâleti	Sancak	1866					Halep vilâyeti	Vilâyet	1924				Kahramanmaraş																																									
MARAT	مراط							Nahiye	1882				Merkez	Zor sancağı																																																													
MARATOKAMBO	مراطوقامبو							Nahiye	1832					Sisam emâreti	Nahiye	1913				Sisam	Yunanistan																																																						
MARATONİSİ	مراتونيسی							Kaza					Lakonya eyâleti	Yunanistan																																																													
MARDİN	ماردين							Sancak	1534					Diyarbakır eyâleti	Sancak	18. yy.					Bağdad eyâleti	Sancak	1848					Diyarbakır eyâleti	Sancak	1850				Hakkâri eyâleti	Sancak	1855				Diyarbakır eyâleti	Sancak	1867			Diyarbakır vilâyeti	Vilâyet	1924			Mardin																									
MARGİLİÇ	مارغليچ	Margarition						Kaza	1867				Preveze	Yanya vilâyeti	Kaza	1913				Preveze	Yunanistan																																																						
MARHO	مرخو							Kaza	1828				Çıldır	Erzurum eyâleti																																																													
Marmara	مرمره	GÖLMARMARA						Nahiye	1865			Akhisar	Saruhan	Aydın vilâyeti	Nahiye	1924				Akhisar	Manisa	Kaza	~1990					Manisa																																															
MARMARA	مرمره	Preme						Kaza	1843				Erdek	Hudavendigâr eyâleti	Nahiye	1870			Bandırma	Karesi	Hudavendigâr vilâyeti	Nahiye	1924				Erdek	Balıkesir	Kaza	~1990				Balıkesir																																									
Marmara	مرمره	DAĞMARMARA	Karaköy					Kaza	~1530				Saruhan	Anadolu eyâleti	Nahiye	1865			Turgutlu	Saruhan	Aydın vilâyeti	Nahiye		Lağvedildi. Karaköy halen Turgutlu merkez bucağına bağlı.			Turgutlu	Manisa																																															
MARMARA EREĞLİSİ	مرمره ارکليسی							Nahiye	1926				Çorlu	Tekirdağ	Kaza	~1990					Tekirdağ																																																						
MARMARİS	مرريس							Kaza	16. yy.				Rodos	Cezayir-i Bahr-i Sefid eyâleti	Kaza	1867				Menteşe	Aydın vilâyeti	Kaza	1924					Muğla																																															
MAROSTORDA	ماروس تورده	Maros Vasarheli						Eyâlet		(Erdel=Transilvanya) bölgesinde ve dokuz kazası vardı.				Macaristan																																																													
MARSAROS	مارساروس							Eyâlet						Macaristan																																																													
MARTIKALE	مارطی قلعه							Nahiye	16. yy.			Bafra	Canik	Rum eyâleti	Köy					Bafra	Samsun																																																						
MARULYA	ماروليه							Kaza merkezi					Akseki	Antalya																																																													
MARUNİYE	مارونيه							Nahiye	1865			Merkez	Gümülcine	Edirne vilâyeti	Nahiye	1919			Merkez	Gümülcine	Yunanistan																																																						
MAŞARİKU NABLUS	مشارق نبلوس							Kaza	1634				Nablus	Sayda eyâleti	Nahiye	1900			Nablus	Belka	Beyrut vilâyeti																																																						
Masat	مصاد	YILDIRIM						Nahiye	1865			Bayburt	Erzurum	Erzurum vilâyeti	Köy				Maden	Merkez	Bayburt																																																						
MASERTİ	معسرتی							Kaza merkezi	1953				Ömerli	Mardin																																																													
Maşkir	مشکر	ÇAKIRTAŞ						Nahiye	16. yy.			Merkez	Arapkir	Diyarbakır eyâleti	Köy				Dutluca	Kemaliye	Erzincan																																																						
MASRATA	مصراطه							Kaza				Humus	Trablusgarb	Libya																																																													
Mastavra	ماستاوره	BOYZURT						Nahiye	~1530			Kestel	Aydın	Anadolu eyâleti	Köy				Merkez	Nazilli	Aydın																																																						
MAT	ماط	Matte						Kaza	1874				Debre	Manastır vilâyeti																																																													
MATARİYE	مطريه							Köy				Şibri	Kalyûbiye	Mısır																																																													
MATARİYE ve DİMYAT	مطريه وَ دمياط							Muhafızlık						Mısır																																																													
MATYA	ماتيه							Nahiye				Merkez	Trablusgarb	Libya																																																													
MAVET	ماوت							Nahiye	1877			Şehrizor	Süleymaniye	Musul																																																													
MAYDOS	مايدوس							Kaza merkezi	1926				Eceâbâd	Çanakkale																																																													
MAZENDERAN	مازندران							Eyâlet						İran																																																													
MAZGİRT	مازکرد							Sancak	16. yy.					Diyarbakır eyâleti	Kaza	1865				Erzincan	Erzurum vilâyeti	Kaza	1881				Dersim	Harput eyâleti	Kaza	1888			Dersim	Mamûretülaziz vilâyeti	Kaza	1926				Elâzığ	Kaza	1935			Tunceli																														
MAZIDAĞI	مازی طاغی							Kaza	1937	Eski bir kaza ve nahiye olan “Metinan” lağvedilerek onun yerine kuruldu.)				Mardin																																																													
MAZUN	مازون					Söke’de, Bafa g.lünün kuzeybatısında idi.		Kaza	~1530				Menteşe	Anadolu eyâleti																																																													
MEBREZ	مبرز							Kaza	1875			Merkez	Necid	Basra vilâyeti																																																													
MECANE	مجانه							Kasaba					Kayrevan	Tunus																																																													
MECDEL	مجدل							Kaza	1846				Kudüs	Sayda eyâleti	Nahiye	1854				Gazze	Kudüs eyâleti																																																						
MECDEL-İ ŞEMS	مجدل شمس							Nahiye	1865			Kunaytıra	Havran	Suriye vilâyeti																																																													
Mecidiye	مجيديه	ESKİPAZAR	Kıran					Nahiye	1924				Çerkeş	Çankırı	Kaza	1946					Çankırı	Kaza	1995					Karabük																																															
Mecidiye	مجيديه	ÇİÇEKDAĞI	Boyalık					Kaza	1870				Kırşehir	Ankara vilâyeti	Kaza	1924					Kırşehir																																																						
MECİDİYE	مجيديه	Megidiye	Medgidia					Sancak	1857-1863					Silistre eyâleti	Kaza	1864				Tulca	Tuna vilâyeti																																																						
MECİDİYE	مجيديه	Suluca						Nahiye	1865			Keşan	Gelibolu	Edirne vilâyeti	Nahiye	1924				Keşan	Edirne																																																						
MECİTÖZÜ	مجيد اوزی	Avukathacıköy						Nahiye	~1530			Turhal	Sivas-Tokat	Rum eyâleti	Kaza	17. yy.				Sivas	Sivas eyâleti	Kaza	1865				Amasya	Sivas vilâyeti	Kaza	1924				Çorum																																									
MECMAA	مجمعه							Kasaba						Suudi Arabistan																																																													
MECR-İ KEBÎR	مجر کبير							Nahiye	1887			Merkez	Ammara	Basra vilâyeti	Nahiye				Merkez	Ammara	Irak																																																						
MECR-İ SAGÎR	مجر صغير							Nahiye	1887			Merkez	Ammara	Basra vilâyeti	Nahiye				Merkez	Ammara	Irak																																																						
Mecrihan	مجريحان	ÇAMLIDERE						Nahiye					Merkez	Şanlıurfa																																																													
MEDAYİN-İ SALİH	مداين صالح							Nahiye	1893			Maan	Kerek	Suriye vilâyeti																																																													
MEDEA	مدعا							Kasaba						Cezayir-i Bahr-i Sefid vilâyeti																																																													
MEDİNE	مدينه	Yesrib					https://www.wikidata.org/wiki/Q35484	Eyâlet merkezi						Harem-i Nebevî eyâleti	Sancak	~1855					Habeş eyâleti	Sancak	~1876				Mekke	Hicaz vilâyeti	Sancak	~1902				Hicaz vilâyeti	Sancak	1909				Medine sancağı																																			
MEDİNE	مدينه	Medine-i Beni Mansur						Nahiye	1871			Kurna	Basra	Basra vilâyeti																																																													
MEDİNETÜLFEYYUM	مدينة الفيوم	Feyyûm						Müdiriyet						Mısır																																																													
MEDİNETÜMISIR	مدينة مصر							Kasaba						Mısır																																																													
MEFHAK	مفحق							Nahiye	1875			Haraz	Sana	Yemen vilâyeti																																																													
MEGARİDE	مغاريده	Megaris						Kaza						Atika maa Biyotiye eyâleti	Kaza						Yunanistan																																																						
MEĞELGİN	مکلکين					Saimbeyli’nin Ayvacık k.yü civarında idi.		Nahiye (Kale)	~1530			Kars	Maraş	Zülkadriye eyâleti																																																													
Meğri	مکری	Mekri	FETHİYE					Kaza	1865				Gelibolu	Edirne vilâyeti	Nahiye	1919			Merkez	Dedeağaç	Yunanistan																																																						
MEHAYİŞE	محايشه							Nahiye	1871			Hacur	Hudeyde	Yemen vilâyeti																																																													
MEHDİNÇ maa ÇERNİÇ	مهدينچ مع چرنيچ							Kaza				Küçük Eflâk	Eflâk	Romanya																																																													
MEHDİYE	مهديه							Sancak	16. yy.					Kaptanpaşa eyâleti	Kaza	17. yy.					Tunus eyâleti																																																						
Mehmetkân	محمدکان	AYGÜN						Nahiye merkezi				Akçasır	Kulp	Diyarbakır																																																													
MEHMETYAN	محمديان	Piçer						Nahiye		Lağvedilmiş. Piçer=Güldiken halen Lice merkez bucağına bağlı k.ydür.			Lice	Diyarbakır																																																													
MEHMÛMİYE	مهموميه							Nahiye merkezi			Razlık	Nevrekop	Siroz	Selânik	Kaza merkezi	1867			Razlık	Siroz	Selânik vilâyeti																																																						
MEHRUD	مهرود							Kaza	1852				Horasan	Bağdad maa Şehrizor eyâleti																																																													
MEHTİYE	مهتيه	Andira, Andros				Kiklada adalarının en büyüklerinden. 1566’da fethedildi.		Sancak	1600					Cezayir-i Bahr-i Sefid eyâleti	Sancak	1829-1830					Yunanistan																																																						
MEKKE-İ MÜKERREME	مکهء مکرمه						https://www.wikidata.org/wiki/Q5806	Sancak	~1853					Harem-i Şerif eyâleti	Sancak	1855					Habeş eyâleti	Emaret	1876					Hicaz vilâyeti	Vilâyet merkezi	1909				Hicaz vilâyeti																																									
MEKNASE	مکناسه	Meguinez					https://www.wikidata.org/wiki/Q178663	Şehir						Fas																																																													
Mekri,	مکری	Meğri	FETHİYE			1914’te “Fethiye” oldu.		Kaza	~1530				Menteşe	Anadolu eyâleti	Kaza	1811				Menteşe	Aydın eyâleti	Kaza	1924					Muğla																																															
MEKRUMGÖMÜ	مکروم کومی							Nahiye	~1530			Karahisar	Teke	Anadolu eyâleti																																																													
MELEDA	ملده	Melita						Nahiye (ada)				Raguza	Dalmaçya	Avusturya-Macaristan																																																													
Melefan	ملفان	TUZLAGÖZÜ						Nahiye	1880			Garzan	Siirt	Bitlis vilâyeti	Nahiye	1949				Kozluk	Siirt																																																						
Melegûbi	ملکوبی	DERİNKUYU						Nahiye	16. yy.			Merkez	Niğde	Karaman eyâleti	Nahiye	1865			Merkez	Niğde	Konya vilâyeti	Nahiye	1902				Nevşehir	Niğde	Nahiye	1924			Nevşehir	Kırşehir	Kaza	1960				Nevşehir																																			
Melendiz	ملندوز	MELENDİZŞIHLAR						Nahiye	16. yy.			Merkez	Niğde	Karaman eyâleti	Köy				Çiftlik	Merkez	Niğde																																																						
Melense	ملنسه	KONUKLU						Nahiye	16. yy.			Merkez	Karahisar-ı Şarkî	Rum eyâleti	Köy				Yavuzkemal	Dereli	Giresun																																																						
MELH	ملح							Nahiye	1865			Busra eş-Şam	Havran	Suriye vilâyeti																																																													
MELHA	ملحه							Nahiye	1879			Kerkük	Şehrizor	Musul																																																													
MELHAN	ملحان							Nahiye	1871			Bacil	Sana	Yemen vilâyeti																																																													
MELİKGAZİ	مليک غازی							Kaza	~1990					Kayseri																																																													
MELİLE	مليله							Kasaba						İspanya																																																													
MELİNDE	ملينده							Kasaba						Tunus																																																													
Melli	ميللو	Millü	KOCAALİLER					Nahiye				Merkez	Antalya	Konya	Nahiye	1926				Bucak	Burdur																																																						
MEMDUHİYE	ممدوحيه							Nahiye	1851			Hille	Divaniye	Bağdad eyâleti																																																													
MEMLEKETEYN	مملکتين	Eflâk, Boğdan						İki bölge		Eflâk ve Boğdan’a Osmanlıların verdiği ad.				Romanya																																																													
MEMRECE	ممرجه							Nahiye	1884			Hayy	Müntefik	Basra vilâyeti																																																													
MEN’-İ HASSA	منع خاصه							Kaza	1614				Cebel-i Dürzi	Sayda eyâleti																																																													
MENASIF	مناصف							Nahiye	1517				Trablus	Arap vilâyeti	Kaza	1614				Cebel-i Dürzi	Sayda eyâleti	Nahiye	1861				Şuf	Cebel-i Lübnan sancağı																																															
MENBİÇ	منبيچ	Münbi.	Karamelik					Nahiye	1517				Halep	Arap vilâyeti	Sancak	1630					Halep eyâleti	Kaza					Kilis	Halep eyâleti	Nahiye	1865		Kilis	Halep	Halep vilâyeti	Nahiye		Membiç şimdi Suriye’de. Eski merkezi olan “Karamelik” halen Kilis merkez ilçeye bağlı köy.		Halep	Suriye																																			
MENDAN	مندان							Nahiye	1855			Merkez	Musul	Van eyâleti																																																													
Mendehorya	مندخوريه	KEMALİYE						Nahiye	~1530			Adala	Saruhan	Anadolu eyâleti	Kaza	1811				Saruhan	Aydın eyâleti	Nahiye	1882			Kula	Manisa	Aydın vilâyeti	Kasaba			Merkez	Alaşehir	Manisa																																									
MENDELİ	مندلی	Diyale						Kaza	18. yy.				Bedre	Bağdad maa Şehrizor eyâleti	Sancak	1865					Bağdad eyâleti	Kaza	1867				Bağdad	Bağdad vilâyeti																																															
MENDERES	مندرس	Cumaovası						Nahiye					Merkez	İzmir	Kaza	~1990					İzmir																																																						
