Placename@tr	Lead entry?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Sequence	Unit	StartDate	StartPeriod	EndDate	UnitNotes	belongsTo4	belongsTo3	belongsTo2	belongsTo1	belongsTo1_code
														5	Kaza	1936	Turkish Republic	 	 	 	 	 	Bitlis	 
Adıyaman	y	15284	آدی يامان	Hısn-ı Mansur							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Kaza	1924	Turkish Republic	1954	 	 	 	 	Malatya	 
														2	Vilâyet	1954	Turkish Republic	 	 	 	 	 	Adıyaman	 
Adli̇ye	y	5020	عدليه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1864	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Vidin	Tuna vilâyeti	172
Adri̇ya	y	20003	آدريا								http://www.geonames.org/ontology#P.PPLG	Not	https://www.wikidata.org/wiki/Q34615	1	Şehir	 	 	 	 	 	 	Venedik	İtalya	 
Afar	y	5022	عفار								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1871	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Hıcce	Sana	Yemen vilâyeti	181
Afgan	n	10017	افغان	GÜNDOĞAN							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Karaman	Konya	Konya vilâyeti	144
														2	Köy	 	 	 	 	 	Bucakkışla	Merkez	Karaman	 
Afşar	y	10018	آفشار								http://www.geonames.org/ontology#P.PPLG			1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1865	 	 	 	Hamid	Anadolu eyâleti	101
														2	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Şarkikaraağaç	Konya vilâyeti	 
														3	Köy	 	 	 	 	 	Merkez	Gelendost	Isparta	 
Afşar	y	10019	آفشار	Avşar							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	166
														2	Köy	 	 	 	 	 	Akıncılar	Suşehri	Sivas	 
Afşi̇n	y	5023	آفشين	Yarpuz, Efsus							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	1944	 	 	 	Elbistan	Maraş	 
														2	Kaza	1944	Turkish Republic	 	 	 	 	 	Kahramanmaraş	 
Afyonkarahi̇sar	y	350	آفيون قره حصار	Afyon		Karahisar-ı Sahib				Osmanlı döneminde Karahisar-ı Sahib, Cumhuriyetle birlikte Afyonkarahisar, bir müddet sonra Afyon, 2005 yılında yine Afyonkarahisar denildi.	http://www.geonames.org/ontology#A.ADMD			1	Sancak	1428	http://n2t.net/ark:/99152/p0pf2qbkv24	1841	 	 	 	 	Anadolu eyâleti	101
														2	Sancak	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867	 	 	 	 	Hudavendigâr eyâleti	 
														3	Sancak	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	 	 	Hudavendigâr vilâyeti	 
														4	Vilâyet	1924	Turkish Republic	 	 	 	 	 	Afyonkarahisar	 
Ağabeyli̇	y	15002	آغا بکلی	Bertiz							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Nahiye	 	 	 	 	 	 	Merkez	Kahramanmaraş	 
Ağaçeli̇	y	15003	آغاچ ايلی	Ilıcalar, Fahran							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Nahiye	 	 	 	 	 	 	Merkez	Bingöl	 
Ağaçlı	y	10020	آغاچلی	Çıska, Cıksı							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh	1924	 	 	Merkez	Âmid	Diyarbakır eyâleti	121
														2	Nahiye	1924	Turkish Republic	 	 	 	 	Kulp	Diyarbakır vilâyeti	 
Ağaçlı	y	5024	آغاچلی								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1887	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	 	Kocaeli	Hudavendigâr vilâyeti	133
Ağaçören	y	15285	آغاچ اوره ن	Panlı	پانلی						http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Nahiye	1924	Turkish Republic	1933	 	 	 	Şereflikoçhisar	Aksaray	 
														2	Nahiye	1933	Turkish Republic	1990	 	 	 	Şereflikoçhisar	Ankara	 
														3	Kaza	1990	Turkish Republic	 	 	 	 	 	Aksaray	 
Ağaki̇s	y	1008	آغاکس								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1550	http://n2t.net/ark:/99152/p0pf2qb689b	1830	 	 	 	 	Van eyâleti	175
														2	Kaza	1830	http://n2t.net/ark:/99152/p0pf2qbzg6v	 	 	 	 	Van	Van eyâleti	 
Ağcalar	y	5025	آغجه لر	Kale-i Sebûke							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	 	Bazyan	Musul vilâyeti	152
Ağcalar Ve Asker	y	10021	آغجه لر و عسکر								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	 	 	 	 	 	Merkez	Süleymaniye	Bağdad eyâleti	106
Ağın	y	10022	آغين								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	Merkez	Arapkir	Diyarbakır eyâleti	121
														2	Nahiye	 	 	1954	 	 	Kemaliye	Malatya	Mamûretülaziz vilâyeti	 
														3	Kaza	1954	Turkish Republic	 	 	 	 	 	Elâzığ	 
Ağlasun	y	10023	آغلاسون								http://www.geonames.org/ontology#P.PPLG			1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1846	 	 	 	Hamid	Anadolu eyâleti	101
														2	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865	 	 	 	Hamid	Karaman eyâleti	 
														3	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1958	 	 	Merkez	Burdur	Konya vilâyeti	 
														4	Kaza	1958	Turkish Republic	 	 	 	 	 	Burdur	 
Ağlı	y	15286	آغلی								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Nahiye	 	 	~1990	 	 	 	Küre	Kastamonu	 
														2	Kaza	~1990	Turkish Republic	 	 	 	 	 	Kastamonu	 
Agonya	n	5026	آغونيه	HAMDİBEY		Koyuneli					http://www.geonames.org/ontology#A.ADMD			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1909	 	 	Balya	Biga	Anadolu eyâleti	101
														2	Nahiye	1909	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	 	Edremit	Karesi sancağı	 
														3	Nahiye	 	 	 	Agonya nahiyesi lağvedilmiş, Mrk. olan Koyuneli köyü halen Yenice’nin Hamdibey bucağıdır.	 	 	Edremit	Balıkesir	 
Ağrı	y	15287	آغری	Karaköse							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Vilâyet	1938	Turkish Republic	 	~1925’te bu bölgede Bayazıt Vilâyeti kuruldu. Vilâyet merkezi 1927’de Karaköse’ye taşınınca Karaköse adını aldı. 1938’de adı Ağrı oldu.	 	 	 	Ağrı	 
Ağrıboz	y	353	آغريبوز	Eğriboz		Eubee				Ege’de Girit’ten sonra ikinci büyük ada, 1821’de kaybedildi.	http://www.geonames.org/ontology#A.ADMD			1	Sancak	1470	http://n2t.net/ark:/99152/p0pf2qbcrrw	1533	 	 	 	 	Rumeli eyâleti	156
														2	Sancak	1533	http://n2t.net/ark:/99152/p0pf2qb689b	1829	 	 	 	 	Kaptanpaşa eyâleti	 
														3	Eyâlet	1829	http://n2t.net/ark:/99152/p0pf2qbzg6v	 	 	 	 	 	Yunanistan	 
Ağunsos	n	10025	آغنصوص	ÇAYIRÖZÜ							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Bayburt	Erzurum	Erzurum vilâyeti	125
														2	Köy	 	 	 	 	 	 	Merkez	Bayburt Gümüşhane	 
														3	Köy	 	 	 	 	 	Merkez	Merkez	Bayburt	 
Ağustos	y	20054	آغوستوس	Niyaoste							http://www.geonames.org/ontology#A.ADMD	Not		1	Nahiye	 	 	 	 	 	Karaferye	Selânik	Yunanistan	 
Ahalt	y	15004	آحلت								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Kaza merkezi	1950	Turkish Republic	 	 	 	 	Yusufeli	Artvin	 
Ahat	y	5028	احد								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1919	 	 	Sultaniye	Gümülcine	Edirne vilâyeti	122
														2	Nahiye	1919	http://n2t.net/ark:/99152/p0pf2qbw2zt	 	 	 	Sultaniye	Gümülcine	Yunanistan	 
Ahem	y	5029	عا هم								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1871	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Hacur	Hudeyde	Yemen vilâyeti	181
Ahi̇çelebi̇	y	5030	آخی چلبی	Smoljan		Paşmaklı					http://www.geonames.org/ontology#A.ADMD			1	Kaza	1877	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	 	Filibe	Edirne vilâyeti	122
														2	Kaza	 	 	1919	 	 	 	Gümülcine	Edirne	 
														3	Kaza	1919	http://n2t.net/ark:/99152/p0pf2qbw2zt	 	 	 	 	 	Yunanistan	 
Ahılkalak Ve Maçahel	y	1009	آخالقلاک وماچه خل								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1578	http://n2t.net/ark:/99152/p0pf2qbb9h8	 	 	 	 	 	Çıldır eyâleti	119
Ahırlı	y	5031	آخورلی								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	1990	 	 	 	Bozkır	Konya	 
														2	Kaza	1990	Turkish Republic	 	 	 	 	 	Konya	 
Ahıska	y	534	آخسخه	Ahısha							http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q212546	1	Eyâlet merkezi	1625	http://n2t.net/ark:/99152/p0pf2qbnnn2	1828	 	 	 	 	Çıldır eyâleti	119
														2	Eyâlet merkezi	1828	http://n2t.net/ark:/99152/p0pf2qbzg6v	 	 	 	 	 	Rusya yönetimi	 
														3	Şehir	 	 	 	 	 	 	 	Gürcistan yönetimi	 
Ahlat	y	1010	آخلاط								http://www.geonames.org/ontology#A.ADMD		https://www.wikidata.org/wiki/Q400362	1	Sancak	 	 	1800	 	 	 	 	Van eyâleti	175
														2	Sancak merkezi	1800	http://n2t.net/ark:/99152/p0pf2qbt989	1846	 	 	 	Adilcevaz	Van eyâleti	 
														3	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1855	 	 	 	Van	Van eyâleti	 
														4	Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh	1880	 	 	 	Muş	Erzurum eyâleti	 
														5	Kaza	1880	http://n2t.net/ark:/99152/p0pf2qbx98x	1935	 	 	 	Bitlis	Bitlis vilâyeti	 
														6	Kaza	1935	Turkish Republic	 	 	 	 	 	Bitlis	 
