	Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14	wikidata_json	lat	lon
3673	KIZILİN	قزيل اين	Beşyol						Nahiye	1870			Besni	Malatya	Mamûretülaziz vilâyeti	Nahiye	1926				Besni	Gaziantep	Nahiye	1933				Besni	Malatya	Nahiye	1954			Besni	Adıyaman																																												
3674	KIZILIRMAK	قزيل ايرماق	İnellıballı	Kethudalı					Kaza	1849				Kengırı	Bozok eyâleti	Nahiye	1889			Kalecik	Ankara	Ankara vilâyeti	Nahiye	1924				Kalecik	Ankara	Nahiye				Merkez	Çankırı	Kaza	~1990				Çankırı																																						
3675	KIZILKAYA	قزيل قيا	Pazaravdan						Nahiye	1926				Bucak	Burdur																																																																
3676	KIZILKOCA	قزيل قوجه					Kızılkoca’nın merkezi şimdi Şefaatli’ye bağlı olan “Yassıağıl” k.yüdür.		Kaza	~1530				Bozok	Zülkadriye eyâleti	Kaza	1846				Bozok	Bozok eyâleti																																																									
3677	KIZILKÜMBET	قزيل کومبت							Nahiye		Çekerek’in Deveci k.yü ile Erbaa’nın Alank.y’ünü içine alan bölgede kurulmuş.		Zile	Tokat-Sivas	Rum eyâleti																																																																
3678	KIZILOĞLAN	قزيل اوغلان							Nahiye merkezi				Saraydüzü	Boyabat	Sinop																																																																
3679	KIZILÖREN	قزيل اوره ن	Kızılviran						Kasaba					Sandıklı	Afyon	Kaza	~1990					Afyonkarahisar																																																									
3680	KIZILÖREN	قزيل اوره ن	Kızılviran						Nahiye					Merkez	Konya	Kaza	~1990					Konya																																																									
3681	KIZILÖZ	قزيل اوز							Nahiye	16. yy.			Kırşehir	Bozok	Zülkadriye eyâleti																																																																
3682	KIZILRİBAT	قزيل رباط							Nahiye	1867			Hanikin	Bağdad	Bağdad vilâyeti																																																																
3683	KIZILRİBAT maa KOLAY	قزيل رباط مع قولای							Nahiye	1852				Hanikin	Bağdad maa Şehrizor eyâleti																																																																
3684	KIZILSU	قزيل صو	Şıhraş						Nahiye	1948				Şırnak	Siirt	Nahiye	1990				Merkez	Şırnak																																																									
3685	KIZILTEPE	قزيل تپه	Koçhisar						Nahiye	1867			Merkez	Mardin	Diyarbakır vilâyeti	Kaza						Mardin																																																									
3686	KIZILYAKA	قزيل يقا							Nahiye					Merkez	Karaman																																																																
3687	KIZILYAR	قزيل يار							Nahiye	1866			Bulanık	Maraş	Halep vilâyeti																																																																
3688	KIZLAR	قيزلر						https://www.wikidata.org/wiki/Q145810	Eyâlet merkezi				Terek	Kafkasya	Rusya																																																														https://www.wikidata.org/wiki/Special:EntityData/Q145810.json	43.85	46.716666666667
3689	Kıran	قيران	KIRANKÖY						Nahiye merkezi				Mecidiye	Çerkeş	Çankırı	Köy				Merkez	Eskipazar	Karabük																																																									
3690	Kırmıt	قيرميت	SAĞKAYA						Nahiye		Sırkıntı-i zîr nahiyesi bölgesinde kuruldu.			Ceyhan	Adana																																																																
3691	Kızıl	قزيل	KIZILKÖY						Nahiye	~1866			Merkez	Tokat	Sivas vilâyeti	Köy				Merkez	Merkez	Tokat																																																									
3692	Kızılcatuzla	قزيلجه طوزله	AYVACIK						Kaza	1841				Biga	Hudavendigâr eyâleti	Kaza	1886					Biga sancağı	Kaza	1924					Çanakkale																																																		
3693	Kızılhisar	قزيل حصار	TORBALI						Nahiye	~1530			Ayasluğ	Aydın	Anadolu eyâleti	Kaza	1841				Sığla	Aydın eyâleti	Kaza	1924					İzmir																																																		
3694	Kızılhisar	قزيل حصار	SERİNHİSAR						Nahiye					Acıpayam	Denizli	Kaza	~1990					Denizli																																																									
3695	Kızılkilise	قزيل کليسا	NAZIMİYE						Kaza	1888				Dersim	Mamûretülaziz vilâyeti	Kaza	1926					Erzincan	Kaza	1936					Tunceli																																																		
3696	Kızılkise	قزيل کليسا	KIZILKESE						Nahiye	1865			Vezirköprü	Amasya	Sivas vilâyeti	Köy				Mezraa	Vezirköprü	Samsun																																																									
3697	KLARANSA	قلارانسه							Kasaba					Elida	Yunanistan																																																																
3698	KLOSORA	کليسوره	Vlachoklissora						Nahiye	1870			Kesriye	Görice	Manastır																																																																
3699	KNORYO	کنوريو	Metropolu						Kaza	1846				Kandiye	Girit eyâleti																																																																
3700	KNORYO maa PİRYOTİCE	کنوريو مع پيريوتيجه	Miris						Kaza	1867					Girit vilâyeti	Kaza	1913					Yunanistan																																																									
3701	KO	قو	Kos	İstanköy					Ada		Kaza				Cezayir-i Bahr-i Sefid eyâleti	Ada (kaza)	1948					Yunanistan																																																									
3702	KOBECİ	قوبجی	Koubatchi						Kaza					Dağıstan	Rusya																																																																
3703	KOBİN	قوبين							Köy				Barınç	Beşiri	Siirt	Kaza merkezi	1926				Beşiri	Siirt																																																									
3704	KOÇ	قوچ							Kaza merkezi				Koroleş	Ergiri	Yanya																																																																
3705	KOCAALİ	قوجه علی							Nahiye					Karasu	Sakarya	Kaza	~1990					Sakarya																																																									
3706	KOCAALİ	قوجه علی							Nahiye	1865			İnöz	Dedeağaç	Edirne vilâyeti	Köy					Enez	Edirne																																																									
3707	KOCAALİLER	قوجه عليلر	Melli						Nahiye	1865			Antalya	Teke	Konya vilâyeti	Nahiye	1926				Bucak	Burdur																																																									
3708	KOCACIK	قوجه جق							Nahiye	1874			Debre-i Bâlâ	Debre	Manastır																																																																
3709	KOCAELİ	قوجه ايلی	İznikmid	İzmit					Sancak	~1530					Anadolu eyâleti	Sancak	1533					Cezayir-i Bahr-i Sefid eyâleti	Sancak	1846					Kastamonu eyâleti	Sancak	1855				Hudavendigâr eyâleti	Sancak	1870				Şehremâneti	Sancak	1871			Hudavendigâr vilâyeti	Sancak	1872			Müstakil sancak	Sancak	1876			Şehremâneti	Sancak	1887			Hudavendigâr vilâyeti	Sancak	1888.0		Müstakil sancak	Vilâyet	1924.0		Kocaeli										
3710	KOCAKAYA	قوجه قيا							Köy				Mezraa	Vezirköprü	Samsun																																																																
3711	KOCAKAYASI ve KAVAK	قوجه قياسی وَقواق							Kaza	~1530				Canik	Rum eyâleti																																																																
3712	KOÇAKMAZ	قوچ آقماز							Nahiye		Erzurum’un Çat ilçesi yöresi.		Merkez	Kiğı	Diyarbakır eyâleti																																																																
3713	KOCAKOÇ	قوجه قوچ	Pah						Nahiye	1888			Mazgirt	Dersim	Mamûretülaziz vilâyeti	Nahiye	1926				Mazgirt	Elâzığ	Nahiye	1935				Merkez	Tunceli																																																		
3714	KOCAKÖY	قوجه کوی	Karas						Kasaba				Mermer	Merkez	Diyarbakır	Kaza	~1990					Diyarbakır																																																									
3715	KOÇALİ	قوچ علی	Aydınili						Nahiye	1883			Hısnımansur	Malatya	Mamûretülaziz vilâyeti	Nahiye	1924				Adıyaman	Malatya	Nahiye	1954					Adıyaman																																																		
3716	KOÇANA	قوچانه							Kaza	1846				Üsküb	Üsküp eyâleti	Kaza	1877				Üsküb	Kosova vilâyeti																																																									
3717	Kocaoluk	قوجه اولوق	DAZKIRI						Nahiye	1867			Sandıklı	Karahisar-ı Sahib	Hudavendigâr vilâyeti	Nahiye	1924				Dinar	Afyon	Kaza	1959					Afyonkarahisar																																																		
3718	KOCAPINAR	قوجه پيکار	Ağil						Nahiye					Erciş	Van																																																																
3719	KOÇARLI	قوچارلی							Nahiye					Merkez	Aydın	Kaza	1946					Aydın																																																									
3720	KOCASİNAN	قوجه سنان							Kaza	~1990					Kayseri																																																																
3721	KOCATEPE	قوجه تپه	Meşkinan	Deşi					Nahiye	1934				Derik	Mardin																																																																
3722	Koçhisar	قوچحصار	ŞEREFLİKOÇHİSAR						Kaza	~1530				Aksaray	Karaman eyâleti	Kaza	1865				Konya	Konya vilâyeti	Kaza	1924					Aksaray	Kaza	1933				Ankara																																												
3723	Koçhisar	قوچحصار	ILGAZ						Kaza	~1530				Kengırı	Anadolu eyâleti	Kaza	1849				Kengırı	Bozok eyâleti	Nahiye	1867				Merkez	Kastamonu vilâyeti	Kaza	1924				Çankırı																																												
3724	Koçhisar	قوچحصار	KIZILTEPE						Nahiye	19. yy.			Merkez	Mardin	Diyarbakır eyâleti	Kaza						Mardin																																																									
3725	KOÇHİSAR	قوچحصار							Kaza merkezi	1865			Hafik	Sivas	Sivas vilâyeti	Kaza merkezi	1924				Hafik	Sivas																																																									
3726	Koçkiri	قوچ کيری	ZARA						Sancak	1858					Sivas eyâleti	Kaza	1867				Sivas	Sivas vilâyeti	Kaza	1924					Sivas																																																		
3727	Koçkiri	قوچ کيری	Eskikoçkiri	GÜMÜŞAKAR					Nahiye	1865			Kuruçay	Erzincan	Erzurum vilâyeti	Nahiye	1938				İliç	Erzincan																																																									
3728	KOFÇAZ	قوفچغاز							Nahiye	1865			Merkez	Kırkkilise	Edirne vilâyeti	Nahiye	1924				Merkez	Kırklareli	Kaza	1959					Kırklareli																																																		
3729	KOFLA	قوفله							Kaza	~1608				Kıbrıs	Cezayir-i Bahr-i Sefid eyâleti	Kasaba						Kıbrıs																																																									
3730	Koğans	قوغانس	KALE	Keçikale					Kaza	~1530				Bayburt	Rum eyâleti	Kaza	~1840				Gümüşhane	Trabzon eyâleti	Nahiye	1868			Merkez	Gümüşhane	Trabzon vilâyeti	Nahiye	1924			Merkez	Gümüşhane																																												
3731	KOĞLAT	قوغلات							Nahiye	1874			Kesriye	Görice	Manastır																																																																
3732	KÖHNE-İ KEBİR	کهنهء کبير							Nahiye merkezi	~1530		Sorgun	Zile	Sivas-Tokat	Rum eyâleti	Kaza merkezi	1846			Sorgun	Bozok	Bozok eyâleti	Kaza merkezi	1926				Sorgun	Yozgat																																																		
3733	KOKAKSU	قوقاق صو							Nahiye merkezi				Saltukova	Çaycuma	Zonguldak																																																																
3734	KÖKEZ	کوکس							Kaza merkezi	1926			Serik	Teke	Konya vilâyeti																																																																
3735	KÖKEZ	کوکس	Göğez						Nahiye	1874			İstarova	Görice	Manastır																																																																
3736	KOKUZA	قوقوزه							Nahiye	1866			Zeytûn	Maraş	Halep vilâyeti																																																																
3737	KOLANVAKFI	قولان وقفی	Novesil						Kaza	~1580				Bihke	Bosna eyâleti																																																																
3738	KOLAŞİN	قولاشين							Kaza	1855					Karadağ vilâyeti																																																																
3739	KOLAŞİN-İ ZÎR	قولاشين زير	Şahvik						Kaza	1901				Seniçe	Kosova vilâyeti																																																																
3740	KOLAY	قولای							Nahiye	1874				Bafra	Samsun																																																																
3741	KOLAY maa KIZILRİBAT	قولای مع قزلرباط							Kaza	1852				Hanikin	Bağdad maa Şehrizor eyâleti																																																																
3742	KOLONYA	قولونيه	Ersek						Kaza	1874				Görice	Manastır vilâyeti																																																																
3743	KOLOS	قولوس	Kolosvar						Sancak		Kolos ile Kolosvar aynı yer olup “Var” Macarcada Hisar demektir.			Erdel	Macaristan																																																																
3744	KOLOS maa BOYÂBÂD	قولوس مع بوی آباد							Kaza	1846				Sinop	Kastamonu eyâleti																																																																
3745	KÖLÜK	کولک							Kaza merkezi					Kâhta	Adıyaman																																																																
3746	KOMANAT	قومنات					Tokat merkez bucağına bağlı “Gümenek” k.yü olabilir.		Nahiye	~1530			Tokat	Sivas-Tokat	Rum eyâleti																																																																
3747	KOMANOVA	قومان اوه							Kaza	1877				Üsküb	Kosova vilâyeti																																																																
3748	KOMAROM	قوماروم					1543 ve 1594’te Osmanlılar tarafından iki defa zabtedildi.		Sancak						Macaristan																																																																
3749	KOMENİÇE	کومنجه							Nahiye	1867			Yenice-i Vardar	Selânik	Selânik vilâyeti																																																																
3750	KOMİ	قومی							Kasaba		Ağrıboz adasında.				Yunanistan																																																																
3751	KÖMÜR	کومور	Goemoer	Groş Stefeldrof					Eyâlet						Macaristan																																																																
3752	KÖMÜRLÜ	کومورلی	Göllet						Nahiye	1946				Şenkaya	Erzurum																																																																
3753	KÖMÜRN	کومورن	Koemoern						Eyâlet						Macaristan																																																																
3754	Konağı	قوناغی	KONAKLI						Nahiye	~1597			Çermik	Erganimadeni	Diyarbakır eyâleti	Nahiye	1924			Merkez	Çermik	Diyarbakır																																																									
3755	KONAK	قوناق							Kaza	~1990					İzmir																																																																
3756	KONAKKURAN	قوناق قوران	Düğnük						Nahiye merkezi				Nurettin	Malazgirt	Muş																																																																
3757	KONAKPINAR	قوناق پيکار							Nahiye	1910				Merkez	Balıkesir																																																																
3758	KONAKPINAR	قوناق پيکار							Nahiye					Gürün	Sivas																																																																
3759	KONDU	قوندی							Köy				Merkez	Of	Trabzon	Nahiye merkezi				Dernekpazarı	Çaykara	Trabzon																																																									
3760	KONEFKİRŞEN	قونفکيرشن							Şehir						Macaristan																																																																
3761	KONFUDA	قونفوده							Kaza	1873				Asir	Yemen vilâyeti																																																																
3762	KÖNİ	کونی	Sarıgöl						Kaza	1841				Kastamonu	Kastamonu eyâleti																																																																
3763	KONİ maa ÇERKEŞ	کونی مع چرکش							Kaza	1849				Kengırı	Kastamonu eyâleti																																																																
3764	KONİÇE	قونيچه							Kaza	1867				Yanya	Yanya vilâyeti																																																																
3765	KONİÇE	قونيچه							Kaza	1866				Hersek	Bosna vilâyeti																																																																
3766	Konur	قوگور	SULAKYURT	Şeyhşami-i Kebîr					Kaza	1849				Ankara	Bozok eyâleti	Nahiye	1889			Kalecik	Ankara	Ankara vilâyeti	Kaza	1960					Ankara	Kaza	1989				Kırıkkale																																												
3767	KONUR	قوگور							Nahiye	~1530			Kırşehir	Bozok	Zülkadriye eyâleti																																																																
3768	Konûrâbâd	قوگور آباد	DÜZCE						Kaza	~1530				Bolu	Anadolu eyâleti	Kaza	1865				Bolu	Kastamonu vilâyeti	Kaza	1924					Bolu	Vilâyet	1999				Düzce																																												
3769	KONURALP	قوگور آلپ	Üskübü						Nahiye	1924				Düzce	Bolu	Nahiye	1999				Merkez	Düzce																																																									
3770	Konurapa	قوگور آپا	BOLU				Bolu’yu fetheden ve ilk sancak beyi olan “Konuralp”ın adına izafeten		Sancak	~1530					Anadolu eyâleti																																																																
3771	KONYA	قونيه						https://www.wikidata.org/wiki/Q79857	Sancak	1483					Anadolu eyâleti	Eyâlet merkezi	1514					Karaman eyâleti	Vilâyet	1865					Konya																																																https://www.wikidata.org/wiki/Special:EntityData/Q79857.json	37.866666666667	32.483333333333
3772	KOP	قوپ							Kaza merkezi					Bulanık	Muş																																																																
3773	KOPAN	قوپان	Koppany						Sancak	1554					Budin eyâleti	Sancak	1600					Kanije eyâleti	Sancak	1686					Macaristan																																																		
3774	KÖPRÜ maa PRAKİN	کوپری مع پراکين							Kaza	1812					Sırp eyâleti																																																																
3775	KÖPRÜBAŞI	کوپری باشی	Şark.güneşera						Nahiye					Sürmene	Trabzon	Kaza	~1990					Trabzon																																																									
3776	KÖPRÜBAŞI	کوپری باشی							Nahiye					Gördes	Manisa	Kaza	~1990					Manisa																																																									
3777	KÖPRÜBAŞI	کوپری باشی	Elemi						Nahiye					Vezirköprü	Samsun																																																																
3778	KÖPRÜKÖY	کوپری کوی							Nahiye merkezi				Çobandede	Pasinler	Erzurum	Kaza	~1990					Erzurum																																																									
3779	KÖPRÜLÜ	کوپريلی	Titov Veles						Kaza	1867				Selânik	Selânik vilâyeti	Kaza	1913				Selânik	Yunanistan																																																									
3780	KÖPRÜLÜ	کوپريلی	Girenes						Nahiye	1914				Alanya	Antalya	Nahiye	1936				Gündoğmuş	Antalya																																																									
3781	KÖPRÜÖREN	کوپری ويران							Nahiye					Merkez	Kütahya																																																																
3782	KORAMAZ	قوراماز							Nahiye		Gesi bucağının Subaşı=.sgübü k.yü civarı.		Merkez	Kayseri	Karaman eyâleti																																																																
3783	KORDUFAN	قوردوفان	Ubeyd						Müdiriyet				Sudan-ı Mısrî		Mısır eyâleti																																																																
3784	KORENDOS	قرندوس							Nahiye	1867			Merkez	Yanya	Yanya vilâyeti																																																																
3785	KORENT	قورنته							Kaza						Korentiya maa Argolida eyâleti	Kaza					Mora	Yunanistan																																																									
3786	KÖRFEZ	کورفز							Kaza	~1990					Kocaeli																																																																
3787	KORFU	قورفو	Kerkyra = Korfoz						Eyâlet (ada)		Arnavutluk sınırında.				Yunanistan																																																																
3788	KORGAN	قورغان	Keşderesi						Köy				Merkez	Fatsa	Ordu	Nahiye	1946				Fatsa	Ordu	Kaza	1960					Ordu																																																		
3789	KORGUN	قورغون							Nahiye					Merkez	Çankırı	Kaza	~1990					Çankırı																																																									
3790	KORİN	قورين							Kaza					Dağıstan	Rusya																																																																
3791	KORKUT	قورقود	Azakpur	Til					Nahiye	1884			Merkez	Muş	Bitlis vilâyeti	Nahiye	1926				Muş	Bitlis	Nahiye	1929				Merkez	Muş	Kaza	~1990				Muş																																												
3792	KORKUTELİ	قورقود ايلی	İstanos						Nahiye	~1530			Merkez	Teke	Anadolu eyâleti	Kaza	1914					Teke sancağı	Kaza	1924					Antalya																																																		
3793	KORLADİK	کورلادک					Bazı kaynaklarda Korlauk, Körlevat şekillerinde geçmiş		Sancak	17. yy.					Van eyâleti																																																																
3794	KOROLEŞ	قورولش	Koç						Kaza	1867				Ergiri	Yanya vilâyeti																																																																
3795	KOROM	قوروم							Nahiye		1928’de nahiyedir. Lağvedilmiş. İki k.yü halen Gümüşhane Merkeze, iki k.yü de Torul merkeze bağlı.			Torul	Gümüşhane																																																																
3796	KORON	قورون	Korone						Sancak	17. yy.					Cezayir-i Bahr-i Sefid eyâleti	Sancak	1827				Mora	Yunanistan																																																									
3797	KORUCU	قوروجی							Nahiye	1913				Merkez	Balıkesir	Nahiye	1944				İvrindi	Balıkesir																																																									
3798	KORUKAVAK	قوری قواق							Kaza	~1840				Viranşehir	Kastamonu eyâleti																																																																
3799	KORUPAZAR-ı NALLU	قوری بازار نعللو							Nahiye	~1530			Beypazarı	Hudavendigâr	Anadolu eyâleti																																																																
3800	KORUPAZARI	قوری بازاری					Karıpazarı ile aynı yer olabilir.		Kaza	1849				Kengırı	Bozok eyâleti																																																																
3801	KÖSE	کوسه	Çiftlik						Nahiye	1924				Kelkit	Gümüşhane	Kaza	~1990					Gümüşhane																																																									
3802	KÖSEFAKILI	کوسه فاقيهلی							Nahiye					Çiçekdağı	Kırşehir																																																																
3803	KÖŞK	کوشک							Nahiye	~1530			Merkez	Aydın	Anadolu eyâleti	Kaza	1811				Merkez	Aydın eyâleti	Nahiye	1867				Merkez	Aydın vilâyeti	Nahiye	1924			Merkez	Aydın	Kaza	~1990				Aydın																																						
3804	Kosor	قوصور	AKŞAR						Nahiye					Oltu	Erzurum	Nahiye	1946				Şenkaya	Erzurum																																																									
3805	KOSOVA	قوصوه	Priştine						Vilâyet						Kosova vilâyeti	Vilâyet	1913					Sırbistan																																																									
3806	KÖSRELİ	کوسره لی							Nahiye					Ceyhan	Adana																																																																
3807	KOSTANİÇE	قوستانيچه							Kaza	1866				Banaluka	Bosna vilâyeti																																																																
3808	KOSTANİÇE maa KOZARCA	قوستانيچه مع قوزارجه							Kaza	1580				Bihke	Bosna eyâleti																																																																
3809	KOSTANTİNE	قوستانطينه	Coustantine						Eyâlet						Cezayir																																																																
3810	KÖSTENCE	کوستنجه	Costanta	Koustanitza	Tekfurgölü				Kaza	1846				Varna	Silistre eyâleti	Sancak	1861					Silistre eyâleti	Kaza	1864				Tulca	Tuna vilâyeti	Kaza	1913				Romanya																																												
3811	KÖSTENDİL	کوستنديل	Kyustendil						Sancak	16. yy.					Rumeli eyâleti	Sancak	1846					Niş eyâleti																																																									
3812	KÖSTENDİL	کوستنديل							Sancak	1878					Bulgaristan eyâleti	Vilâyet	1908					Bulgaristan																																																									
3813	KÖSTENDİL maa ILICA	کوستنديل مع ايليجه							Kaza	1878				Sofya	Bulgaristan eyâleti																																																																
3814	Köstere	کوستره	TOMARZA						Nahiye	~1530			Kars	Maraş	Zülkadriye eyâleti	Kaza	16. yy.				Kayseri	Karaman eyâleti	Kaza	1846				Kayseri	Bozok eyâleti	Nahiye	1867		Develi	Kayseri	Ankara vilâyeti	Nahiye	1924			Develi	Kayseri	Kaza	1953			Kayseri																																	
3815	KOŞUKAVAK	قوشيقواق	Krumov-grad						Kaza merkezi	1865			Sultanyeri	Gümülcine	Edirne	Kaza	1919				Kırcaali	Yunanistan																																																									
3816	KOSUN	قصون							Kaza	1517	Gülek bucağı bu kazaya bağlı idi.)			Tarsus	Arap vilâyeti																																																																
3817	KÖTEK	کوتک							Nahiye	1924				Kağızman	Kars																																																																
3818	KOTEL	قوتل							Kaza merkezi	1878			Kazan	İslimiye	Rumeli-i Şarkî	Kaza merkezi	1908			Kazan	İslimiye	Bulgaristan																																																									
3819	KOTOR	قطور	Kotar						Sancak	15. yy.					Rumeli eyâleti																																																																
3820	Kotum	قوتوم	KÜÇÜKSU						Nahiye					Tatvan	Bitlis																																																																
3821	KOTUR	قطور	Vâdi-i Beni Kotur	Vâdi-i Kotur					Sancak	~1568					Van eyâleti	Kaza	1850				Van	Hakkâri eyâleti	Kaza	1876				Hakkâri	Van eyâleti	Kasaba	1878		Hoy	Azerbaycan vilâyeti	İran																																												
3822	KOVANCILAR	قوانجيلر							Kasaba				Merkez	Palu	Elâzığ	Kaza	~1990					Elâzığ																																																									
3823	Kovani	قوانی	GÜVENLİK						Nahiye	~1530			Koyulhisar	Karahisar-ı Şarkî	Rum eyâleti	Köy				Merkez	Reşadiye	Tokat																																																									
3824	KOVANLIK	قوانلق							Nahiye	1934				Bulancak	Giresun	Nahiye	~1990				Piraziz	Giresun																																																									
3825	KÖYCEĞİZ	کويجه کيز	Yüksekkum						Kaza	~1530				Menteşe	Anadolu eyâleti	Kaza	1811				Menteşe	Aydın eyâleti	Kaza	1924					Muğla																																																		
3826	KÖYSANCAK	کويسنجاق							Sancak	18. yy.					Şehrizor eyâleti	Kaza	~1830				Kerkük	Bağdad maa Şehrizor eyâleti	Kaza				Şehrizor	Musul	Irak																																																		
3827	KOYULHISAR	قويلحصار	Koyluhisar	Muşaz					Kaza	~1530				Karahisar-ı Şarkî	Rum eyâleti	Kaza	1846				Karahisar-ı Şarkî	Trabzon eyâleti	Kaza	1869				Karahisar-ı Şarkî	Sivas vilâyeti	Kaza	1924				Şebinkarahisar	Kaza	1933				Sivas																																						
3828	KOYUNAĞILI	قويون آغيلی							Nahiye	1867			Mihalıççık	Ankara	Ankara vilâyeti	Köy				Merkez	Mihalıççık	Eskişehir																																																									
3829	Koyuneli	قويون ايلی	HAMDİBEY						Nahiye merkezi				Agonya	Edremit	Balıkesir	Nahiye	1936				Yenice	Çanakkale																																																									
3830	Koyva	قويوه	KUZULU						Nahiye	1865			Merkez	Kırkkilise	Edirne vilâyeti	Köy				Merkez	Merkez	Kırklareli																																																									
3831	KÖYYERİ	کوی يری							Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Nahiye merkezi	1927			Sarız	Pınarbaşı	Kayseri	Kaza merkezi	1946				Sarız	Kayseri																																																		
3832	KOZAĞZI	قوز آغزی							Kaza merkezi	1945				Perşembe	Ordu																																																																
3833	KOZAK	قوزاق	Yukarıbey						Nahiye	1867			Bergama	İzmir	Aydın vilâyeti	Nahiye	1924				Bergama	İzmir																																																									
3834	KOZAKLI	قوزاقلی							Köy				Merkez	Avanos	Kırşehir	Nahiye	1924				Avanos	Kırşehir	Kaza	1954					Nevşehir																																																		
3835	KOZAN	قوزان	SİS						Sancak	1517					Arap vilâyeti	Sancak	16. yy.					Zülkadriye eyâleti	Sancak	1571					Kıbrıs eyâleti	Sancak	1608				Adana eyâleti	Sancak					Halep eyâleti	Sancak	1732			Adana eyâleti	Sancak				Kıbrıs eyâleti	Sancak	1850			Bozok eyâleti	Sancak	1866			Adana vilâyeti	Sancak	1867.0		Halep vilâyeti	Kaza	1869.0	Adana	Adana vilâyeti	Sancak	Adana	Vilâyet	Kozan	Kaza 	1926.0	Adana			
3836	KOZANA	قوزانه	Kozani						Kaza	1889				Serfiçe	Manastır vilâyeti	Kaza	1913				Serfiçe	Yunanistan																																																									
3837	KOZANLI maa İNCESU	قوزانلی مع اينجه صو							Kaza	1846				Kayseri	Bozok eyâleti																																																																
3838	KOZARCA maa KOSTANİÇE	قوزارجه مع قوستانيچه							Kaza	1866				Bihke	Bosna vilâyeti																																																																
3839	KOZCAĞIZ	قوزجه غيز	Ahmetler						Nahiye					Bartın	Zonguldak	Nahiye	1991				Merkez	Bartın																																																									
3840	KOZLU	قوزلی							Nahiye					Merkez	Zonguldak	Kaza	~1990					Zonguldak																																																									
3841	KOZLU	قوزلی							Nahiye	1865			Erbaa	Tokat	Sivas vilâyeti	Nahiye	1924				Erbaa	Tokat																																																									
3842	KOZLUCA	قوزليجه							Kaza	1846				Varna	Silistre eyâleti	Kaza	1908				Varna	Bulgaristan																																																									
3843	KOZLUK	قوزلق	Hazo						Nahiye	1924				Sason	Siirt	Kaza	1938					Siirt	Kaza	1990					Batman																																																		
3844	KOZYÜRÜK	قوزيورک							Nahiye	1865			Malkara	Tekfurdağı	Edirne vilâyeti	Kasaba				Şahin	Malkara	Tekirdağ																																																									
3845	KRANDOS maa YANYA	قراندوس مع يانيه							Kaza	1846				Yanya	Yanya eyâleti																																																																
3846	KRANYA	قرانيه							Kaza	1812				Belgrad	Sırp eyâleti	Kaza	1881					İşkodra vilâyeti																																																									
3847	KRASOSORNİ	قراسوسورنی							Eyâlet						Macaristan																																																																
3848	KRATOVA	قره طوه							Kaza	1877				Üsküb	Kosova vilâyeti																																																																
3849	KRATOVA maa MADEN	قره طوه مع معدن							Kaza	1846				Üsküb	Üsküp eyâleti																																																																
3850	KRONSTAD	قرونستاد	Brasso						Eyâlet						Macaristan																																																																
3851	Kroşevaç	قروشواچ	Krouchevatz	ALACAHİSAR					Sancak		1428-1833 arası Osmanlı hâkimiyetinde kaldı.				Sırp eyâleti							Yugoslavya																																																									
3852	KRUPA	قروپه							Sancak	1584					Bosna eyâleti	Kaza	1865-78				Hersek	Bosna vilâyeti	Kaza merkezi	1881			Akçahisar	Dıraç	İşkodra vilâyeti																																																		
3853	KSANAD	قساناد							Eyâlet						Macaristan																																																																
3854	KSENDİRE	کسنديره	Kassandra	Poliyiros					Kaza	1867				Selânik	Selânik vilâyeti	Kaza	1913				Selânik	Yunanistan																																																									
3855	KSONGRAD	قسونغراد							Eyâlet						Macaristan																																																																
3856	KUBAN	قوبان	Yekaterinodar						Eyâlet					Kafkasya	Rusya																																																																
3857	KUBBE	قبه							Nahiye	1867			Derne	Bingazi	Libya																																																																
