	Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14	wikidata_json	lat	lon
6063	VEZİRKÖPRÜ	وزيرکوپری	Gedegara						Kaza	1520				Canik	Rum eyâleti	Kaza	~1551				Amasya-Çorum	Sivas eyâleti	Kaza	1865				Amasya	Sivas vilâyeti	Kaza	1926				Samsun																																												
6064	Viçe	ويچه	FINDIKLI						Nahiye	1868			Hopa	Lazistan	Trabzon vilâyeti	Nahiye	1924				Hopa	Artvin	Kaza	1948					Artvin	Kaza	1953				Rize																																												
6065	VİDİN	ويدين							Sancak	1396					Rumeli eyâleti	Sancak	1552					Tımışvar eyâleti	Eyâlet	1846					Vidin eyâleti	Sancak	1864				Tuna vilâyeti	Sancak	~1875				Bulgaristan eyâleti	Vilâyet	1908			Bulgaristan																																	
6066	VİLADIKAWKAZ	ولاديقاوقاز	Vilâdıkafkas					https://www.wikidata.org/wiki/Q5239	Şehir					Terek	Rusya																																																														https://www.wikidata.org/wiki/Special:EntityData/Q5239.json	43.016666666667	44.65
6067	VİLÇE maa RİMNİK	ولچه مع ريمنيق	Rimnicu Vilcea						Kaza	1562				Küçük Eflâk	Eflâk eyâleti	Kaza	1878					Romanya																																																									
6068	Virancık	ويرانجق	ÖRENCİK						Nahiye	1867			Merkez	Kütahya	Hudavendigâr vilâyeti	Nahiye	1924				Emet	Kütahya																																																									
6069	VİRANEŞ	ويرانش							Nahiye	1901			Kolaşin-i Zîr	Seniçe	Kosova																																																																
6070	VİRANOVA	ويرانوه							Kaza	1846				Tırnovi	Vidin eyâleti																																																																
6071	Viranşehir	ويران شهر	ÖRENŞEHİR						Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Nahiye	1927				Pınarbaşı	Kayseri																																																									
6072	VİRANŞEHİR	ويران شهر							Kaza	1792				Siverek	Diyarbakır eyâleti	Kaza	1924					Şanlıurfa																																																									
6073	VİRANŞEHİR	ويران شهر	Eskipazar	Bolu					Sancak	~1530					Anadolu eyâleti	Sancak	1811-1864	Bolu, sancağın merkezidir. Viranşehir ise Eskipazar ilçesi olarak şimdi Karabük’e bağlıdır.)				Kastamonu eyâleti																																																									
6074	VİRAZEN	ورازن							Kaza	1867				Sırp eyâleti	Yugoslavya																																																																
6075	VİŞGRAD	ويشغراد							Kaza	1866				Bosna	Bosna vilâyeti																																																																
