Placename@tr	Duplicate?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_start	Admin_unit_1_start_period	Admin_unit_1_stop	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_start	Admin_unit_2_start_period	Admin_unit_2_stop	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_start	Admin_unit_3_start_period	Admin_unit_3_stop	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_start	Admin_unit_4_start_period	Admin_unit_4_stop	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_start	Admin_unit_5_start_period	Admin_unit_5_stop	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_start	Admin_unit_6_start_period	Admin_unit_6_stop	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_start	Admin_unit_7_start_period	Admin_unit_7_stop	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_start	Admin_unit_8_start_period	Admin_unit_8_stop	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_start	Admin_unit_9_start_period	Admin_unit_9_stop	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_start	Admin_unit_10_start_period	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_start	Admin_unit_11_start_period	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_start	Belongs_to_14
ŞERBETEYN		7324	شربتين								http://www.geonames.org/ontology#A.ADMD			Nahiye	1889	http://n2t.net/ark:/99152/p0pf2qbx98x					Erganimadeni	Diyarbakır vilâyeti	121																																																																															
ŞERÇE		11283	شرچه								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q289693	Şehir								Umman																																																																																
Serçeme		11284	سرچمه	ESKİPOLAT							http://www.geonames.org/ontology#P.PPLG			Nahiye	1516	http://n2t.net/ark:/99152/p0pf2qbznht				Soğik	Bayburt	Rum eyâleti	155	Köy						Ilıca	Merkez	Erzurum																																																																						
SERÇINAR maa SÜLEYMANİYE		7325	سرچنار مع سليمانيه								http://www.geonames.org/ontology#A.ADMD			Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh					Süleymaniye	Bağdad maa Şehrizor eyâleti	107																																																																															
SERCİYAN		11285	سرجيان								http://www.geonames.org/ontology#P.PPLG			Nahiye	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh				Merkez	Revandiz	Bağdad maa Şehrizor eyâleti	107																																																																															
SERDAR		15227	سردار								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye merkezi						Kaypak	Merkez	Osmaniye																																																																																
ŞEREFAN		11286	شرفان								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Merkez	Musul	Van eyâleti	175																																																																															
ŞEREFİYE		7326	شرفيه	Dereköy							http://www.geonames.org/ontology#A.ADMD			Nahiye							Zara	Sivas																																																																																
ŞEREFLİKOÇHİSAR		7327	شرفلی قوچ حصار								http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1865				Aksaray	Karaman eyâleti	139	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				Konya	Konya vilâyeti	Kaza	1924	Turkish Republic	1933					Aksaray	Kaza	1933	Turkish Republic					Ankara																																																					
ŞEREŞ ve BENİ MANSUR		7328	شرش وَ بنی منصور								http://www.geonames.org/ontology#A.ADMD			Nahiye	1875	http://n2t.net/ark:/99152/p0pf2qbtdts				Kurna	Basra	Basra vilâyeti	108																																																																															
SERFEND		8083	سرفند											Köy				Sur ile Sayda arasında büyük, tarihi bir köydür. İlyas Peygamber burada ikâmet etmiştir.				Filistin																																																																																
SERFİÇE		1577	سرفيچه	Servia							http://www.geonames.org/ontology#A.ADMD			Müstakil sancak	1881	http://n2t.net/ark:/99152/p0pf2qbx98x	1889					Serfiçe sancağı		Sancak	1889	http://n2t.net/ark:/99152/p0pf2qbx98x	1913					Manastır vilâyeti	Sancak	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq						Yunanistan																																																													
SERGÂYÂ		7329	سرغايا								http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Zabadânî	Şam	Suriye vilâyeti	168																																																																															
SERGEN		7330	سرکن								http://www.geonames.org/ontology#A.ADMD			Nahiye							Vize	Kırklareli																																																																																
SERGİRTİ		11287	سرکرتی								http://www.geonames.org/ontology#P.PPLG			Nahiye merkezi						Demirci	Viranşehir	Şanlıurfa																																																																																
SERİFOS		20281	سريفوس	Seriphos								Not		Ada				Kiklada adalarından				Yunanistan																																																																																
SERİK		11288	سريک	Karahisar-ı Teke	قره حصار تکه	Kökez					http://www.geonames.org/ontology#P.PPLG			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1846				Teke	Anadolu eyâleti	101	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1914				Teke	Karaman eyâleti	Nahiye	1914	http://n2t.net/ark:/99152/p0pf2qb3rtq	1926			Merkez	Teke	Konya vilâyeti	Kaza	1926	Turkish Republic					Antalya																																																					
SERİNHİSAR		15477	سرين خصار	Kızılhisar							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye			~1990				Acıpayam	Denizli		Kaza	~1990	Turkish Republic						Denizli																																																																						
SERİNYOL		15228	سرين يول	Bedirge							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye							Merkez	Hatay																																																																																
SERKEND maa ŞEYHAN		7331	سرکند مع شيخان								http://www.geonames.org/ontology#A.ADMD			Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh					Musul	Van eyâleti	175																																																																															
Serkeş		11289	سرکش	Nefsiserkeş		YALNIZDAM					http://www.geonames.org/ontology#P.PPLG			Kaza	~1846	http://n2t.net/ark:/99152/p0pf2qb8jmh					Canik	Trabzon eyâleti	171	Köy						Merkez	Kumru	Ordu																																																																						
SERMİN		7332	سرمين								http://www.geonames.org/ontology#A.ADMD			Nahiye	1517	http://n2t.net/ark:/99152/p0pf2qbznht	16. yy.				Halep	Arap vilâyeti	103	Nahiye	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b				İdlib	Halep	Halep eyâleti																																																																						
SERRAVALLE		20282	سراواله									Not		Kasaba							Venedik	İtalya																																																																																
ŞERŞEL		8084	شرشل											Kasaba								Cezayir																																																																																
ŞERSO		20283	شرسو	Cherso								Not		Ada				Adriyatik denizinde.				Avusturya-Macaristan																																																																																
SERSÜLLİYANE		8085	سرس الليانه											Kasaba							Menufiye	Mısır																																																																																
Sertaç		15229	سرتاج	KEMER		Bebekler					http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye			~1990				Merkez	Burdur		Kaza	~1990	Turkish Republic						Burdur																																																																						
SERVİ		15478	سروی	Sivan	سيوان						http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye	1927	Turkish Republic	1936				Palu	Elâzığ		Nahiye	1936	Turkish Republic					Genç	Bingöl																																																																						
SERVİ		7333	سروی	Selvie, Sevlievo							http://www.geonames.org/ontology#A.ADMD			Kaza	1908	http://n2t.net/ark:/99152/p0pf2qbx98x					Gabrova	Bulgaristan																																																																																
ŞERVİ		7334	شروی								http://www.geonames.org/ontology#A.ADMD			Kaza	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b					Van	Van eyâleti	175																																																																															
SERVİ maa HOTALİÇ		7335	سروی مع حوتاليچ								http://www.geonames.org/ontology#A.ADMD			Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh					Vidin	Vidin eyâleti	178																																																																															
Şetek	y	11290	شطک	SARIKONAK		Duhan					http://www.geonames.org/ontology#P.PPLG			Nahiye	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1935			Merkez	Bitlis	Bitlis vilâyeti	110	Nahiye	1935	Turkish Republic					Merkez	Bitlis																																																																						
Şeteri		7336	شتری	DAĞYOLU							http://www.geonames.org/ontology#A.ADMD			Nahiye	1915	http://n2t.net/ark:/99152/p0pf2qb3rtq	1926			Kuzucan	Erzincan	Erzurum vilâyeti	125	Nahiye	1926	Turkish Republic	1936				Pülümür	Erzincan	Nahiye	1936	Turkish Republic					Pülümür	Tunceli																																																													
SETİF		7337	ستيف								http://www.geonames.org/ontology#A.ADMD			Kaza							Kostantina	Cezayir																																																																																
SETİF		8086	سطيف											Kasaba								Tunus																																																																																
SEVADİYE		7338	سواديه								http://www.geonames.org/ontology#A.ADMD			Nahiye	1871	http://n2t.net/ark:/99152/p0pf2qbtdts					Rida	Yemen vilâyeti	181																																																																															
ŞEVAN		7339	شوان								http://www.geonames.org/ontology#A.ADMD			Nahiye	1879	http://n2t.net/ark:/99152/p0pf2qbx98x				Kerkük	Şehrizor	Musul vilâyeti	152																																																																															
SEVARİKİYE		7340	سوارقيه								http://www.geonames.org/ontology#A.ADMD			Kaza	1902	http://n2t.net/ark:/99152/p0pf2qbx98x					Medine	Hicaz vilâyeti	132																																																																															
ŞEVATIYE		7341	شواطيه								http://www.geonames.org/ontology#A.ADMD			Kaza	1779	http://n2t.net/ark:/99152/p0pf2qbv3ff					Bağdad	Bağdad maa Şehrizor eyâleti	107																																																																															
SEVDE		8087	سوده											Kasaba				Stratejik önemi olan bir liman kasabasıdır.		Merkez	Hanya	Girit																																																																																
SEVİR		7342	سوير	Beyköy							http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1865			Divriği	Divriği-Darende	Rum eyâleti	155	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Divriği	Sivas	Sivas vilâyeti	Köy						Danişment	Divriği	Sivas																																																													
ŞEVİR		7343	شوير	Şuveyr							http://www.geonames.org/ontology#A.ADMD			Nahiye	1861	http://n2t.net/ark:/99152/p0pf2qbtdts					Metin	Cebel-i Lübnan sancağı																																																																																
ŞEVKETİYE		7344	شوکتيه								http://www.geonames.org/ontology#A.ADMD			Nahiye							Manyas	Balıkesir																																																																																
SEYDİ b. ABBAS		7345	سيدی بن عباس								http://www.geonames.org/ontology#A.ADMD			Kaza							Vehran	Cezayir																																																																																
SEYDİAKABE		8088	سيدی عقبه											Kasaba							Kısantina	Cezayir																																																																																
SEYDİKÖY		11291	سيدی کوی	Cumaâbâd	جمعه آباد	CUMAOVASI	جمعه اووه سی	MENDERES			http://www.geonames.org/ontology#P.PPLG			Nahiye	~1573	http://n2t.net/ark:/99152/p0pf2qb8jrp	1924			İzmir	Sığla	Kaptanpaşa eyâleti	137	Nahiye	1924	Turkish Republic					Merkez	İzmir																																																																						
SEYDİLER		15479	سيديلر								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye			~1990				Devrekâni	Kastamonu		Kaza	~1990	Turkish Republic						Kastamonu																																																																						
SEYDİM		15230	سيدم								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye							Merkez	Çorum																																																																																
SEYDİŞEHİR		7346	سيدی شهر								http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1865				Beyşehri	Karaman eyâleti	139	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				Konya	Konya vilâyeti	Kaza	1924	Turkish Republic						Konya																																																													
SEYFEDDİN		7347	سيف الدين	Kale-i Sebûke							http://www.geonames.org/ontology#A.ADMD			Nahiye	1879	http://n2t.net/ark:/99152/p0pf2qbx98x				Bazyan	Süleymaniye	Musul vilâyeti	152	Nahiye								Irak																																																																						
ŞEYH ALİ KÂSUN		7348	شيج علی کاسون								http://www.geonames.org/ontology#A.ADMD			Nahiye	1902	http://n2t.net/ark:/99152/p0pf2qbx98x				Selimiye	Hama	Suriye vilâyeti	168																																																																															
ŞEYH İSMAİL TAİFESİ		7349	شيخ اسماعيل طائفه سی								http://www.geonames.org/ontology#A.ADMD			Nahiye	1879	http://n2t.net/ark:/99152/p0pf2qbx98x				Gülanber	Süleymaniye	Musul vilâyeti	152																																																																															
ŞEYH MEYDAN maa ŞİMRAN		7350	شيخ ميدان مع شيمران								http://www.geonames.org/ontology#A.ADMD			Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh					Süleymaniye	Bağdad maa Şehrizor eyâleti	107																																																																															
ŞEYH MİSKİN		7351	شيخ مسکين								http://www.geonames.org/ontology#A.ADMD			Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts					Havran	Suriye vilâyeti	168																																																																															
SEYHAN		7352	سيحان								http://www.geonames.org/ontology#A.ADMD			Kaza	~1990	Turkish Republic						Adana																																																																																
ŞEYHAN		11292	شيخان								http://www.geonames.org/ontology#P.PPLG			Nahiye	1879	http://n2t.net/ark:/99152/p0pf2qbx98x				Merkez	Musul	Musul vilâyeti	152																																																																															
ŞEYHAN		7353	شيخان								http://www.geonames.org/ontology#A.ADMD			Nahiye	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh				Savur	Mardin	Diyarbakır eyâleti	121																																																																															
ŞEYHAN		7354	شيخان								http://www.geonames.org/ontology#A.ADMD			Nahiye	1830	http://n2t.net/ark:/99152/p0pf2qbzg6v				Köysancak	Kerkük	Bağdad maa Şehrizor eyâleti	107																																																																															
SEYHAN maa HAMDANİYE		7355	سيحان مع حمدانيه								http://www.geonames.org/ontology#A.ADMD			Kaza	1849	http://n2t.net/ark:/99152/p0pf2qb8jmh					Basra	Bağdad maa Şehrizor eyâleti	107																																																																															
ŞEYHAN maa SERKEND		7356	شيخان مع سرکند								http://www.geonames.org/ontology#A.ADMD			Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh					Musul	Van eyâleti	175																																																																															
ŞEYHANLU		7357	شيخانلو								http://www.geonames.org/ontology#A.ADMD			Kaza	1849	http://n2t.net/ark:/99152/p0pf2qb8jmh					Ankara	Bozok eyâleti	114																																																																															
ŞEYHBEZENLİ		7358	شيخ بزنلی	Şıhbızınlı							http://www.geonames.org/ontology#A.ADMD			Nahiye				Lağvedildi		Haymana	Ankara	Ankara vilâyeti	102																																																																															
ŞEYHCUMA		11293	شيخ جمعه								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1919			Merkez	Gümülcine	Edirne vilâyeti	122	Nahiye	1919	http://n2t.net/ark:/99152/p0pf2qbw2zt				Merkez	Gümülcine	Yunanistan																																																																						
ŞEYHDAVDAN		7359	شيخ داودان								http://www.geonames.org/ontology#A.ADMD			Nahiye				Silvan Bağdere bucağının Kasımlı köyüne bağlı mezraa.		Silvan	Diyarbakır	Diyarbakır vilâyeti	121																																																																															
Şeyhhacı		11294	شيخ حاجی	YUKARIBAĞ							http://www.geonames.org/ontology#P.PPLG			Nahiye	1877	http://n2t.net/ark:/99152/p0pf2qbx98x				Harput	Mamûretülaziz	Mamûretülaziz		Köy						İçme	Merkez	Elâzığ																																																																						
ŞEYHHALİL		11295	شيخ خليل								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Yıldızeli	Sivas	Sivas vilâyeti	166	Köy						Belcik	Yıldızeli	Sivas																																																																						
Şeyhler		7360	شيخلر	KAYNARCA		Hoca					http://www.geonames.org/ontology#A.ADMD			Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh	1924				Kocaeli	Hudavendigâr eyâleti	133	Nahiye	1924	Turkish Republic	1959				Kandıra	Kocaeli	Kaza	1959	Turkish Republic						Sakarya																																																													
ŞEYHLER maa ŞİKAKİ		7361	شيخلر مع شکاکی								http://www.geonames.org/ontology#A.ADMD			Kaza				Lağvedilmiş, köyleri şimdi İslahiye merkez bucağına bağlı.			Kilis	Halep eyâleti	129																																																																															
ŞEYHLİ		11296	شيخلو	Şıhlı							http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Lâdik	Amasya	Sivas vilâyeti	166	Köy						Karaabdal	Havza	Samsun	Nahiye							Lâdik	Samsun																																																													
ŞEYHLÜ		7362	شيخلو							Çivril’in Koçak köyü civarında idi.	http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1867			Denizli	Kütahya	Anadolu eyâleti	101	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts				Sandıklı	Karahisar-ı Sahib	Hudavendigâr vilâyeti																																																																						
ŞEYHMİREZBAN		7363	شيخ مرزبان								http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Koçkiri	Sivas	Sivas vilâyeti	166																																																																															
ŞEYHMUSTAFA		11297	شيخ مصطفی								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Mecitözü	Amasya	Sivas vilâyeti	166	Köy						Merkez	Merkez	Çorum																																																																						
ŞEYHSAİD		523	شيخ سعيد								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q4703239	Sancak merkezi	~1860	http://n2t.net/ark:/99152/p0pf2qb8jmh					Havran	Suriye vilâyeti	168	Köy					Merkez	Havran	Havran	Suriye																																																																						
ŞEYHULHADİD		11298	شيخ الحديد								http://www.geonames.org/ontology#P.PPLG			Nahiye	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq				Merkez	Antakya	Halep eyâleti	129																																																																															
SEYİTGAZİ		7364	سيد غازی								http://www.geonames.org/ontology#A.ADMD			Nahiye	~1400	http://n2t.net/ark:/99152/p0pf2qb6p6j	1842			Eskişehir	Sultanönü	Anadolu eyâleti	101	Kaza	1842	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867				Kütahya	Hudavendigâr eyâleti	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1915			Eskişehir	Kütahya	Hudavendigâr vilâyeti	Kaza	1915	http://n2t.net/ark:/99152/p0pf2qb3rtq	1924			Kütahya	Hudavendigâr vilâyeti	Kaza	1924	Turkish Republic					Eskişehir																																													
Seyyid Hasan		15231	سيد حسن	BAKACAK							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye							Merkez	Diyarbakır		Köy						Merkez	Bismil	Diyarbakır																																																																						
SEYYİDKÂN		7365	سيدکان								http://www.geonames.org/ontology#A.ADMD			Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh					Revandiz	Bağdad maa Şehrizor eyâleti	107																																																																															
SFAKS		1448	سفاقس								http://www.geonames.org/ontology#A.ADMD			Sancak								Tunus																																																																																
ŞİAR ve HAVLE		7366	شعار وَ حواله								http://www.geonames.org/ontology#A.ADMD			Kaza	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq					Şam	Şam eyâleti	159																																																																															
SİB		8089	سيب	Seyyib										Kasaba								Umman																																																																																
ŞİBÎNÜ’L-KAVM		11299	شبين القوم								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q31350	Müdiriyet merkezi							Menufiye	Mısır eyâleti	149																																																																															
Sidre DEMİRTAŞ		11300	سيدره	Belen							http://www.geonames.org/ontology#P.PPLG			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1924			Merkez	Alâiye	Anadolu eyâleti	101	Nahiye	1924	Turkish Republic					Alanya	Antalya																																																																						
Sidre-Kapsi		7367	سيدرهَ قسی								http://www.geonames.org/ontology#A.ADMD			Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh					Selânik	Selânik eyâleti	163																																																																															
ŞİFATİYE		11301	شفاتيه								http://www.geonames.org/ontology#P.PPLG			Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts				Merkez	Kerbelâ	Bağdad vilâyeti	106																																																																															
SIFFEYN		8090	صفين											Mevki						Rakka	Halep	Suriye vilâyeti	168																																																																															
SİFNOS		20284	سيفنوس	Siphnos								Not		Ada				Kiklada adalarından				Yunanistan																																																																																
SIĞACIK		1449	صيغه جق							1928’de de nahiyedir. Seferihisar’ın 5 km. batısında idi. Halen Seferihisar’ın bir mahallesidir.	http://www.geonames.org/ontology#A.ADMD			Sancak	~1573	http://n2t.net/ark:/99152/p0pf2qb8jrp	1924					Kaptanpaşa eyâleti	137	Nahiye	1924	Turkish Republic					Seferihisar	İzmir																																																																						
SİGETVAR		1450	سکتوار	Szigetvar						Büyük bir kaledir. H. 974’te fethedilmiş, 1689’da elden çıkmıştır. Kanunî bu kalenin kuşatılması sırasında vefat etmiştir.	http://www.geonames.org/ontology#A.ADMD			Sancak	1566	http://n2t.net/ark:/99152/p0pf2qb8jrp	1600					Budin eyâleti		Sancak	1600	http://n2t.net/ark:/99152/p0pf2qb5mst	1689					Kanije eyâleti	Sancak	1689	http://n2t.net/ark:/99152/p0pf2qbdpp2						Macaristan																																																													
SIĞLA		1451	صغله	Balat, Söke İzmir						Merkez önce Balat, 17. yy.’da Söke, 18. yy.’da İzmir’dir. 1867’de İzmir, yeni kurulan Aydın vilâyetinin merkezi oldu. Bundan sonra “Sığla” adı kullanılmadı, yerine “İzmir” kullanıldı.	http://www.geonames.org/ontology#A.ADMD			Sancak	~1573	http://n2t.net/ark:/99152/p0pf2qb8jrp	1841					Kaptanpaşa eyâleti	137	Sancak	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1847					Saruhan eyâleti	Sancak	1847	http://n2t.net/ark:/99152/p0pf2qb8jmh						Hudavendigâr eyâleti																																																													
ŞİHABÜDDİN		7368	شهاب الدين								http://www.geonames.org/ontology#A.ADMD			Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh					Viranşehir	Kastamonu eyâleti	141																																																																															
SİHİYAN		11302	سهيان								http://www.geonames.org/ontology#P.PPLG			Nahiye merkezi						Bağlıca	Kurtalan	Siirt																																																																																
ŞIHLAR		11303	شيخلر	Kulakkaya							http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Merkez	Karahisar-ı Şarkî	Sivas vilâyeti	166	Nahiye merkezi			1924			Yavuzkemal	Giresun	Trabzon vilâyeti	Nahiye merkezi	1924	Turkish Republic				Yavuzkemal	Dereli	Giresun																																																													
SİİRT		280	سعرد								http://www.geonames.org/ontology#A.ADMD			Sancak	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	17. yy.					Diyarbakır eyâleti	121	Sancak	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	1864					Van eyâleti	Sancak	1864	http://n2t.net/ark:/99152/p0pf2qbtdts	1880					Diyarbakır vilâyeti	Sancak	1880	http://n2t.net/ark:/99152/p0pf2qbx98x	1924				Bitlis vilâyeti	Vilâyet	1924	Turkish Republic					Siirt																																													
SİİRT ve HISN-I KEYF		7369	سعرد وَ حصن کيف								http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b						Diyarbakır eyâleti	121																																																																															
Şikefti		7370	شکفتی	ALBAYRAK							http://www.geonames.org/ontology#A.ADMD			Nahiye	1882	http://n2t.net/ark:/99152/p0pf2qbx98x	1924			Başkale	Hakkâri	Van vilâyeti	175	Nahiye	1924	Turkish Republic					Başkale	Van																																																																						
SİKLOS		1452	سکلوس								http://www.geonames.org/ontology#A.ADMD			Sancak	1545	http://n2t.net/ark:/99152/p0pf2qb689b	1600					Budin eyâleti		Sancak	1600	http://n2t.net/ark:/99152/p0pf2qb5mst	1689					Kanije eyâleti	Sancak	1689	http://n2t.net/ark:/99152/p0pf2qbdpp2						Macaristan																																																													
SİLÂKİ		20164	سيلاکی								http://www.geonames.org/ontology#A.ADMD	Not		Eyâlet				kontluk				Macaristan																																																																																
ŞİLE		7371	شيله								http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1879				Kocaeli	Anadolu eyâleti	101	Kaza	1879	http://n2t.net/ark:/99152/p0pf2qbx98x	1909					Şehremâneti	Kaza	1909	http://n2t.net/ark:/99152/p0pf2qb3rtq						İstanbul																																																													
SİLİFKE		571	سلفکه								http://www.geonames.org/ontology#A.ADMD		https://www.wikidata.org/wiki/Q650630	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1870				İçil	Karaman eyâleti	139	Sancak merkezi	1870	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				İçil	Adana vilâyeti	Vilâyet merkezi	1924	Turkish Republic	1933					İçil	Kaza	1933	Turkish Republic		İçil ile İçel karıştırılmamalı. İçil: Merkezi Ermenek, sonra Silifke olan eski bir sancağın adıdır. İçel: Cumhuriyetten sonra bu adı alan ve merkezi Mersin olan ilimizdir.			İçel																																																					
Silisözü		11304	سليس اوزی	GÜZELBEYLİ							http://www.geonames.org/ontology#P.PPLG			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b				Zile	Sivas-Tokat	Rum eyâleti	155	Kasaba						Boztepe	Zile	Tokat																																																																						
SİLİSTRE		164	سلستره	Silistra							http://www.geonames.org/ontology#A.ADMD			Sancak	1416	http://n2t.net/ark:/99152/p0pf2qbq356	1792					Rumeli eyâleti	156	Sancak	1792	http://n2t.net/ark:/99152/p0pf2qbt989	1812					Özü eyâleti	Eyâlet	1812	http://n2t.net/ark:/99152/p0pf2qbzg6v	1864					Silistre eyâleti	Kaza	1864	http://n2t.net/ark:/99152/p0pf2qbtdts	1878			Ruscuk	Tuna vilâyeti	Sancak	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1908				Bulgaristan eyâleti	Vilâyet	1908	http://n2t.net/ark:/99152/p0pf2qbx98x				Bulgaristan																																						
SİLİVRİ		1453	سيلوری								http://www.geonames.org/ontology#A.ADMD			Sancak	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1888					Edirne eyâleti	122	Kaza	1888	http://n2t.net/ark:/99152/p0pf2qbx98x	1909					Çatalca sancağı	Nahiye	1909	http://n2t.net/ark:/99152/p0pf2qb3rtq	1924				Çatalca	İstanbul	Kaza	1924	Turkish Republic					İstanbul																																																					
SİLLE		11305	سله	Sudirhemi	صو درهمی						http://www.geonames.org/ontology#P.PPLG			Nahiye	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1924			Merkez	Konya	Karaman eyâleti	139	Nahiye	1924	Turkish Republic	~1990				Merkez	Konya	Nahiye	~1990	Turkish Republic					Selçuklu	Konya																																																													
SİLOPİ		7372	سيلوپی								http://www.geonames.org/ontology#A.ADMD			Nahiye	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh	1960			Cizre	Mardin	Diyarbakır vilâyeti	121	Kaza	1960	Turkish Republic	1990					Mardin	Kaza	1990	Turkish Republic						Şırnak																																																													
