Placename@tr	Duplicate?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_start	Admin_unit_1_start_period	Admin_unit_1_stop	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_start	Admin_unit_2_start_period	Admin_unit_2_stop	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_start	Admin_unit_3_start_period	Admin_unit_3_stop	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_start	Admin_unit_4_start_period	Admin_unit_4_stop	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_start	Admin_unit_5_start_period	Admin_unit_5_stop	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_start	Admin_unit_6_start_period	Admin_unit_6_stop	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_start	Admin_unit_7_start_period	Admin_unit_7_stop	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_start	Admin_unit_8_start_period	Admin_unit_8_stop	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_start	Admin_unit_9_start_period	Admin_unit_9_stop	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_start	Admin_unit_10_start_period	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_start	Admin_unit_11_start_period	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_start	Belongs_to_14
Adala	y	5017	آطله	KARATAŞ							http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1882				Saruhan	Anadolu eyâleti	101	Nahiye	1882	http://n2t.net/ark:/99152/p0pf2qbx98x					Salihli	Manisa																																																																						
ADALAR		1005	آطه لر	Büyükada							http://www.geonames.org/ontology#A.ADMD			Sancak	1878	http://n2t.net/ark:/99152/p0pf2qbx98x						Şehremâneti		Kaza			1909					Şehremâneti	Kaza	1909	http://n2t.net/ark:/99152/p0pf2qb3rtq						İstanbul																																																													
ADANA		100	آطنه (ادنه)								http://www.geonames.org/ontology#A.ADMD			Sancak	1517	http://n2t.net/ark:/99152/p0pf2qbznht	1520					Arap vilâyeti	103	Sancak	1520	http://n2t.net/ark:/99152/p0pf2qb689b	1608					Halep eyâleti	Eyâlet	1608	http://n2t.net/ark:/99152/p0pf2qbv3zv	1865					Adana eyâleti	Sancak	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1869				Halep vilâyeti	Vilâyet	1869	http://n2t.net/ark:/99152/p0pf2qbtdts					Adana vilâyeti																																													
ADANA		10015	آطنه (ادنه)								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q38545																																																																																									
ADAÖREN		10016	آطه ويران	Adaviran							http://www.geonames.org/ontology#P.PPLG			Nahiye							Beypazarı	Ankara		Köy						Merkez	Beypazarı	Ankara																																																																						
ADAPAZARI		5018	آطه پازاری	Ada							http://www.geonames.org/ontology#A.ADMD		https://www.wikidata.org/wiki/Q175323	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1878				Kocaeli	Anadolu eyâleti	101	Kaza	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1924				Kocaeli	Şehremâneti	Kaza	1924	Turkish Republic	1954					Kocaeli	Vilâyet merkezi	1954	Turkish Republic					Sakarya																																																					
ADEM		20052	آدم								http://www.geonames.org/ontology#A.ADMD	Not		Nahiye				Bahreyn ve Umman’da da bu adda nahiyeler vardır			Hicaz	S. Arabistan																																																																																
ADEN		1006	عدن								http://www.geonames.org/ontology#A.ADMD			Sancak	1539	http://n2t.net/ark:/99152/p0pf2qb689b	1630				Taizz	Yemen eyâleti	181	Kaza	1630	http://n2t.net/ark:/99152/p0pf2qbnnn2					Taizz	Yemen eyâleti																																																																						
ADESSE		20053	آدسّه	Vodina							http://www.geonames.org/ontology#A.ADMD	Not		Kaza						Selânik	Selânik	Yunanistan																																																																																
ADİD		5019	عديد								http://www.geonames.org/ontology#A.ADMD			Nahiye	1875	http://n2t.net/ark:/99152/p0pf2qbtdts				Katar	Basra	Basra vilâyeti	108																																																																															
ADİLCEVAZ		1007	عادلجواز								http://www.geonames.org/ontology#A.ADMD			Sancak	1550	http://n2t.net/ark:/99152/p0pf2qb689b	1846					Van eyâleti	175	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1912				Van	Van eyâleti	Kaza	1912	http://n2t.net/ark:/99152/p0pf2qb3rtq	1926				Van	Van vilâyeti	Nahiye	1926	Turkish Republic	1936			Ahlat	Bitlis	Kaza	1936	Turkish Republic					Bitlis																																													
ADIYAMAN		15284	آدی يامان	Hısn-ı Mansur							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Kaza	1924	Turkish Republic	1954					Malatya		Vilâyet	1954	Turkish Republic						Adıyaman																																																																						
ADLİYE		5020	عدليه								http://www.geonames.org/ontology#A.ADMD			Kaza	1864	http://n2t.net/ark:/99152/p0pf2qbtdts					Vidin	Tuna vilâyeti	172																																																																															
ADRİYA		20003	آدريا								http://www.geonames.org/ontology#P.PPLG	Not	https://www.wikidata.org/wiki/Q34615	Şehir							Venedik	İtalya																																																																																
AFAR		5022	عفار								http://www.geonames.org/ontology#A.ADMD			Nahiye	1871	http://n2t.net/ark:/99152/p0pf2qbtdts				Hıcce	Sana	Yemen vilâyeti	181																																																																															
Afgan		10017	افغان	GÜNDOĞAN							http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Karaman	Konya	Konya vilâyeti	144	Köy						Bucakkışla	Merkez	Karaman																																																																						
AFŞAR		10018	آفشار								http://www.geonames.org/ontology#P.PPLG			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1865				Hamid	Anadolu eyâleti	101	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts					Şarkikaraağaç	Konya vilâyeti	Köy						Merkez	Gelendost	Isparta																																																													
AFŞAR		10019	آفشار	Avşar							http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	166	Köy						Akıncılar	Suşehri	Sivas																																																																						
AFŞİN		5023	آفشين	Yarpuz, Efsus							http://www.geonames.org/ontology#A.ADMD			Nahiye			1944				Elbistan	Maraş		Kaza	1944	Turkish Republic						Kahramanmaraş																																																																						
AFYONKARAHİSAR		350	آفيون قره حصار	Afyon		Karahisar-ı Sahib				Osmanlı döneminde Karahisar-ı Sahib, Cumhuriyetle birlikte Afyonkarahisar, bir müddet sonra Afyon, 2005 yılında yine Afyonkarahisar denildi.	http://www.geonames.org/ontology#A.ADMD			Sancak	1428	http://n2t.net/ark:/99152/p0pf2qbkv24	1841					Anadolu eyâleti	101	Sancak	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867					Hudavendigâr eyâleti	Sancak	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924					Hudavendigâr vilâyeti	Vilâyet	1924	Turkish Republic					Afyonkarahisar																																																					
AĞABEYLİ		15002	آغا بکلی	Bertiz							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye							Merkez	Kahramanmaraş																																																																																
AĞAÇELİ		15003	آغاچ ايلی	Ilıcalar, Fahran							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye							Merkez	Bingöl																																																																																
AĞAÇLI		10020	آغاچلی	Çıska, Cıksı							http://www.geonames.org/ontology#P.PPLG			Nahiye	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh	1924			Merkez	Âmid	Diyarbakır eyâleti	121	Nahiye	1924	Turkish Republic					Kulp	Diyarbakır vilâyeti																																																																						
AĞAÇLI		5024	آغاچلی								http://www.geonames.org/ontology#A.ADMD			Kaza	1887	http://n2t.net/ark:/99152/p0pf2qbx98x					Kocaeli	Hudavendigâr vilâyeti	133																																																																															
AĞAÇÖREN		15285	آغاچ اوره ن	Panlı	پانلی						http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye	1924	Turkish Republic	1933				Şereflikoçhisar	Aksaray		Nahiye	1933	Turkish Republic	1990				Şereflikoçhisar	Ankara	Kaza	1990	Turkish Republic						Aksaray																																																													
AĞAKİS		1008	آغاکس								http://www.geonames.org/ontology#A.ADMD			Sancak	1550	http://n2t.net/ark:/99152/p0pf2qb689b	1830					Van eyâleti	175	Kaza	1830	http://n2t.net/ark:/99152/p0pf2qbzg6v					Van	Van eyâleti																																																																						
AĞCALAR		5025	آغجه لر	Kale-i Sebûke							http://www.geonames.org/ontology#A.ADMD			Nahiye							Bazyan	Musul vilâyeti	152																																																																															
AĞCALAR ve ASKER		10021	آغجه لر و عسکر								http://www.geonames.org/ontology#P.PPLG			Nahiye						Merkez	Süleymaniye	Bağdad eyâleti	106																																																																															
AĞIN		10022	آغين								http://www.geonames.org/ontology#P.PPLG			Nahiye	19. yy.	http://n2t.net/ark:/99152/p0pf2qb8jmh				Merkez	Arapkir	Diyarbakır eyâleti	121	Nahiye			1954			Kemaliye	Malatya	Mamûretülaziz vilâyeti	Kaza	1954	Turkish Republic						Elâzığ																																																													
AĞLASUN		10023	آغلاسون								http://www.geonames.org/ontology#P.PPLG			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1846				Hamid	Anadolu eyâleti	101	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Hamid	Karaman eyâleti	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1958			Merkez	Burdur	Konya vilâyeti	Kaza	1958	Turkish Republic					Burdur																																																					
AĞLI		15286	آغلی								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye			~1990				Küre	Kastamonu		Kaza	~1990	Turkish Republic						Kastamonu																																																																						
