key-name	alt-name	Reference
İstefanya k., Mizistre n., Mizistre kz., Mora l.	Ayo Nikola k.	
Kambiya k., Livadiye n., Livadiye kz., Agrıboz l.	Ayo Nikola k.	
Kireturlu k., Serfiçe kz., Solkol, Paşa l.	Ayo Nikola k.	
Mavri k., Dömeke n., Çatalca kz., Tırhala l.	Ayo Nikola k.	
Manol Rayno m., Menlik nf., Menlik n., Timurhisar kz., Solkol, Paşa l.	Ayo Nikola m.	
Aya Nikola Kosiniçe m., Kestorya nf., Kestorya kz., Solkol, Paşa l.	Ayo Nikola Kosiniçe m.	
Aynaroz cz., Solkol, Paşa l.	Ayo Noros cz.	
Vardat k., İzdin n., İzdin kz., Agrıboz l.	Ayo Paraskevi k.	
Aya Playa m., Selanik nf., Selanik kz., Solkol, Paşa l.	Ayo Playa m.	
Vardovada k., Voniçe, Angelikasrı kz., Karlıili l.	Ayo Seranova k.	
Akındıburnu k., Hasha-i İstanbul kz., Vize l.	Ayo Sodena k.	
Aya Lahvasa k., Agrıboz n., Agrıboz kz., Agrıboz l.	Ayo Yani k.	
Bedeni k., Hulumiç n., Hulumiç kz., Mora l.	Ayo Yani k.	
İsveti Yani k., Prespa n., Görice kz., Solkol, Paşa l.	Ayo Yani k.	
Toriça k., Balyabadra kz., Mora l.	Ayo Yani k.	
Adyolisyon mn., Drama kz., Solkol, Paşa l.	Ayo Yani mn.	
Aya Paraskevi k., Kelemerye n., Selanik kz., Solkol, Paşa l.	Ayo Yorgi k.	
Berziçko k., Siroz kz., Solkol, Paşa l.	Ayo Yorgi k.	
Boçopulo k., Aydos bölgesi, Angelikasrı kz., Karlıili l.	Ayo Yorgi k.	
İpsomat k., Avlonya kz., Avlonya l.	Ayo Yorgi k.	
Kalonat k., Modoniçe n., İzdin kz., Agrıboz l.	Ayo Yorgi k.	
Likovoni k., Mizistre n., Mizistre kz., Mora l.	Ayo Yorgi k.	
Linka k., İştin kz., Solkol, Paşa l.	Ayo Yorgi k.	
Manastır k., Nevrekop kz., Solkol, Paşa l.	Ayo Yorgi k.	
Aya Paraskevi k., Kele-merye n., Selanik kz., Solkol, Paşa l.	Ayo Yorgi/Nihor k.	
Kilise-i Panaya m., Manyas, Gelibolu nf., Gelibolu kz., Gelibolu l.	Ayo Yorgi m.	
Zapeç m., Menlik nf., Menlik n., Timurhisar kz., Solkol, Paşa l.	Ayo Yorgi m.	
