Placename@tr	ottgaz_id	Placename@ott	Placename_2@tr	Placename_2@ott	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
AĞAÇÖREN		آغاچ اوره ن	Panlı						Region	Republic of Turkey		Nahiye	1924				Şereflikoçhisar	Aksaray		Nahiye	1933				Şereflikoçhisar	Ankara	Kaza	1990					Aksaray																																															
AĞAKİS	1008	آغاکس							Region			Sancak	1549-12-22T00:00:00Z					Van eyâleti	175	Kaza	1830				Van	Van eyâleti																																																						
AĞCALAR		آغجه لر	Kale-i Sebûke						Region			Nahiye					Bazyan	Musul vilâyeti	152																																																													
AĞCALAR ve ASKER		آغجه لر و عسکر							City			Nahiye				Merkez	Süleymaniye	Bağdad eyâleti	106																																																													
AĞIN		آغين							City			Nahiye	19. yy.			Merkez	Arapkir	Diyarbakır eyâleti	121	Nahiye				Kemaliye	Malatya	Mamûretülaziz vilâyeti	Kaza	1954					Elâzığ																																															
AĞLASUN		آغلاسون							City			Kaza	~1530				Hamid	Anadolu eyâleti	101	Kaza	1846				Hamid	Karaman eyâleti	Nahiye	1865			Merkez	Burdur	Konya vilâyeti	Kaza	1958				Burdur																																									
AĞLI		آغلی							Region	Republic of Turkey		Nahiye					Küre	Kastamonu		Kaza	~1990					Kastamonu																																																						
Agonya		آغونيه	HAMDİBEY		Koyuneli				Region			Nahiye	~1530			Balya	Biga	Anadolu eyâleti	101	Nahiye	1909				Edremit	Karesi sancağı	Nahiye		Agonya nahiyesi lağvedilmiş, Mrk. olan Koyuneli k.yü halen Yenice’nin Hamdibey bucağıdır.			Edremit	Balıkesir																																															
AĞRI		آغری	Karaköse						Region	Republic of Turkey		Vilâyet	1938	~1925’te bu bölgede Bayazıt Vilâyeti kuruldu. Vilâyet merkezi 1927’de Karaköse’ye taşınınca Karaköse adını aldı. 1938’de adı Ağrı oldu.				Ağrı																																																														
AĞRIBOZ	353	آغريبوز	Eğriboz		Eubee			Ege’de Girit’ten sonra ikinci büyük ada, 1821’de kaybedildi.	Region			Sancak	1469-12-23T00:00:00Z					Rumeli eyâleti	156	Sancak	1533					Kaptanpaşa eyâleti	Eyâlet	1829					Yunanistan																																															
Ağrus		آغروس	ATABEY						City			Nahiye	~1530			Eğirdir	Hamid	Anadolu eyâleti	101	Nahiye	1865			Merkez	Hamid	Konya vilâyeti	Nahiye	1924				Merkez	Isparta	Kaza					Isparta																																									
Ağunsos		آغنصوص	ÇAYIRÖZÜ						City			Nahiye	1865			Bayburt	Erzurum	Erzurum vilâyeti	125	Köy					Merkez	Bayburt Gümüşhane	Köy				Merkez	Merkez	Bayburt																																															
AĞUSTOS		آغوستوس	Niyaoste						Region	Not		Nahiye				Karaferye	Selânik	Yunanistan																																																														
Ağva		آغوا	YEŞİLÇAY						Region	Republic of Turkey		Nahiye	1926				Şile	İstanbul																																																														
Ağvanis		آغوانيس	GÖLOVA						Region			Nahiye	1867			Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	166	Nahiye	1924				Suşehri	Şebinkarahisar	Nahiye	1933				Suşehri	Sivas vilâyeti	Kaza	1990				Sivas																																									
AHALT		آحلت							City	Republic of Turkey		Kaza merkezi	1950				Yusufeli	Artvin																																																														
AHAT		احد							Region			Nahiye	1865			Sultaniye	Gümülcine	Edirne vilâyeti	122	Nahiye	1919			Sultaniye	Gümülcine	Yunanistan																																																						
AHEM		عا هم							Region			Nahiye	1871			Hacur	Hudeyde	Yemen vilâyeti	181																																																													
AHİÇELEBİ		آخی چلبی	Smoljan		Paşmaklı				Region			Kaza	1877				Filibe	Edirne vilâyeti	122	Kaza					Gümülcine	Edirne	Kaza	1919					Yunanistan																																															
AHILKALAK ve MAÇAHEL	1009	آخالقلاک وماچه خل							Region			Sancak	1577-12-22T00:00:00Z					Çıldır eyâleti	119																																																													
AHIRLI		آخورلی							Region			Nahiye					Bozkır	Konya		Kaza	1990					Konya																																																						
AHISKA	534	آخسخه	Ahısha						City		https://www.wikidata.org/wiki/Q212546	Eyâlet merkezi	1625-01-01T00:00:00Z					Çıldır eyâleti	119	Eyâlet merkezi	1828					Rusya yönetimi	Şehir						Gürcistan yönetimi																																															
AHLAT	1010	آخلاط							Region		https://www.wikidata.org/wiki/Q400362	Sancak						Van eyâleti	175	Sancak merkezi	1800				Adilcevaz	Van eyâleti	Kaza	1846				Van	Van eyâleti	Kaza	1855			Muş	Erzurum eyâleti	Kaza	1880			Bitlis	Bitlis vilâyeti	Kaza	1935			Bitlis																														
AHMET SARAY		احمدسرای							City			Nahiye	1865			Lâdik	Amasya	Sivas vilâyeti	166	Köy				Merkez	Lâdik	Samsun																																																						
AHMETBEY		احمد بک							City			Nahiye				Lüleburgaz	Kırkkilise	Edirne vilâyeti	122	Kasaba				Büyükkarıştıran	Lüleburgaz	Kırklareli																																																						
AHMETLER		احمدلر							City			Nahiye merkezi				Kozcağız	Bartın	Zonguldak																																																														
AHMETLİ		احمدلی							Region	Republic of Turkey		Nahiye					Turgutlu	Manisa		Kaza	~1990	Eski “Ilıca-i Saruhan” kazası bölgesinde kuruldu.)				Manisa																																																						
AHMETLİ		احمدلی	Güran		Pirahmet				Region			Nahiye					Ergani	Diyarbakır																																																														
AHSA	354	احسا	Necd-i Şarkî		El-Hufûf				Region			Eyâlet						Ahsa eyâleti		Sancak	1871					Bağdad vilâyeti	Sancak	1874					Necd vilâyeti	Sancak	1875				Basra vilâyeti	Sancak	1880				Bağdad vilâyeti	Sancak	1884			Basra vilâyeti																														
AHSENDERE		احسن دره							Region			Nahiye		Elbistan’ın güneybatısında ve Kabaktepe köyü civarında idi.		Maraş	Maraş	Zülkadriye eyâleti	183																																																													
AHTAMAR		آختمار										Ada		Ermeni ruhanî merkezlerinden biri olan Ahtamar manastırı bu adada				Van gölü																																																														
AHTOPOL		آخته پولی	Agoto-Polis		Vasiliko				Region			Kaza	1865				Kırkkilise	Edirne		Kaza	1913				Burgaz	Bulgaristan																																																						
AHYOLU		آخيولی	Poromorie						Region			Kaza					Burgaz	Bulgaristan																																																														
Ahyolu Burgazı	1011	آخيولی بورغازی	BURGAZ						Region			Sancak	1878-01-01T00:00:00Z					Rumeli-i Şarkî vilâyeti	156	Sancak	1908					Bulgaristan																																																						
